Steps;Time;Cost
0;1,1555;43088
0;0,0519;43525
0;0,0448;43162
0;0,0467;43360
0;0,0438;43525
0;0,0481;42824
0;0,0467;43444
0;0,0428;43358
0;0,0479;42824
0;0,0448;42321
0;0,046400000000000004;43273
0;0,0448;42864
0;0,045599999999999995;43900
0;0,0526;43232
0;0,0533;42561
0;0,1376;43202
0;0,0443;43162
0;0,048;43525
0;0,043699999999999996;42321
0;0,048900000000000006;42949
0;0,044199999999999996;43673
0;0,0477;42673
0;0,0435;43360
0;0,0472;42508
0;0,0467;43012
0;0,0424;43095
0;0,0445;43237
0;0,0444;43392
0;0,0475;43052
0;0,0426;42545
0;0,0468;42979
0;0,0451;42703
0;0,0465;43524
0;0,050300000000000004;43202
0;0,0458;43095
0;0,0438;42989
0;0,0488;43846
0;0,043699999999999996;43444
0;0,0477;43618
0;0,0439;42989
0;0,0458;43232
0;0,045399999999999996;43697
0;0,0466;43506
0;0,0449;42824
0;0,0478;43052
0;0,0434;43444
0;0,0465;43012
0;0,0451;43141
0;0,0466;43519
0;0,0435;42561
0;0,0468;42728
0;0,0429;43859
0;0,0468;43519
0;0,0446;42824
0;0,0463;42703
0;0,0475;42545
0;0,0465;43095
0;0,0443;42673
0;0,046;41815
0;0,0439;43360
0;0,0497;42864
0;0,0457;42458
0;0,048;43113
0;0,0436;43394
0;0,0482;43098
0;0,0461;44317
0;0,0449;42756
0;0,0484;42458
0;0,0451;43237
0;0,0461;42561
0;0,044;43444
0;0,045399999999999996;43095
0;0,0448;42824
0;0,0484;43697
0;0,0441;43673
0;0,047;43095
0;0,0499;42989
0;0,0479;43237
0;0,043300000000000005;43506
0;0,0468;41815
0;0,0446;43237
0;0,046900000000000004;43394
0;0,0443;42703
0;0,0463;43013
0;0,043000000000000003;43939
0;0,047;42471
0;0,0434;43012
0;0,045399999999999996;43052
0;0,0421;43360
0;0,0448;43358
0;0,0413;43227
0;0,0505;42321
0;0,043699999999999996;43273
0;0,047299999999999995;42515
0;0,0425;43859
0;0,045399999999999996;43939
0;0,0416;44282
