Steps;Time;Cost
0;0,9808;42
0;0,0878;42
0;0,0864;42
0;0,0816;42
0;0,0847;42
0;0,0813;42
0;0,0814;42
0;0,0813;42
0;0,0812;42
0;0,0843;42
0;0,0814;42
0;0,0813;42
0;0,0813;42
0;0,0813;42
0;0,0813;42
0;0,0812;42
0;0,08310000000000001;42
0;0,0813;42
0;0,0812;42
0;0,0815;42
0;0,0814;42
0;0,0814;42
0;0,0812;42
0;0,0812;42
0;0,0841;42
0;0,0812;42
0;0,0813;42
0;0,0813;42
0;0,087;42
0;0,0814;42
0;0,0812;42
0;0,0842;42
0;0,0813;42
0;0,0813;42
0;0,0813;42
0;0,0813;42
0;0,0813;42
0;0,0839;42
0;0,0814;42
0;0,0813;42
0;0,0812;42
0;0,0813;42
0;0,0812;42
0;0,0814;42
0;0,0813;42
0;0,08729999999999999;42
0;0,0814;42
0;0,0814;42
0;0,0812;42
0;0,0814;42
0;0,0813;42
0;0,0814;42
0;0,08399999999999999;42
0;0,0974;42
0;0,0815;42
0;0,0816;42
0;0,0812;42
0;0,0813;42
0;0,0813;42
0;0,0813;42
0;0,0877;42
0;0,0812;42
0;0,0812;42
0;0,0814;42
0;0,0816;42
0;0,0875;42
0;0,0945;42
0;0,0812;42
0;0,0812;42
0;0,0814;42
0;0,0813;42
0;0,0813;42
0;0,0816;42
0;0,08660000000000001;42
0;0,0813;42
0;0,0812;42
0;0,0812;42
0;0,08310000000000001;42
0;0,0813;42
0;0,0814;42
0;0,0854;42
0;0,0816;42
0;0,0815;42
0;0,0814;42
0;0,0814;42
0;0,0813;42
0;0,0815;42
0;0,0813;42
0;0,08399999999999999;42
0;0,08310000000000001;42
0;0,0812;42
0;0,0812;42
0;0,0814;42
0;0,0812;42
0;0,0813;42
0;0,0842;42
0;0,0815;42
0;0,0812;42
0;0,0813;42
0;0,0814;42
0;0,0814;42
0;0,083;42
0;0,0813;42
0;0,08600000000000001;42
0;0,0812;42
0;0,0813;42
0;0,0813;42
0;0,0944;42
0;0,0811;42
0;0,0813;42
0;0,0843;42
0;0,0815;42
0;0,0813;42
0;0,0832;42
0;0,0813;42
0;0,0812;42
0;0,0813;42
0;0,0812;42
0;0,0839;42
0;0,0811;42
0;0,0813;42
0;0,0814;42
0;0,0817;42
0;0,0814;42
0;0,0813;42
0;0,0857;42
0;0,0819;42
0;0,0823;42
0;0,0819;42
0;0,0848;42
0;0,08220000000000001;42
0;0,0824;42
0;0,0821;42
0;0,0821;42
0;0,0816;42
0;0,08220000000000001;42
0;0,08600000000000001;42
0;0,0855;42
0;0,0825;42
0;0,0828;42
0;0,0821;42
0;0,0819;42
0;0,0819;42
0;0,0819;42
0;0,08650000000000001;42
0;0,0816;42
0;0,0817;42
0;0,0813;42
0;0,0815;42
0;0,08339999999999999;42
0;0,0814;42
0;0,0848;42
0;0,0821;42
0;0,0813;42
0;0,0812;42
0;0,0813;42
0;0,0812;42
0;0,0814;42
0;0,0869;42
0;0,0814;42
0;0,0813;42
0;0,0888;42
0;0,0817;42
0;0,0816;42
0;0,0813;42
0;0,0815;42
0;0,0848;42
0;0,0813;42
0;0,0814;42
0;0,0813;42
0;0,0814;42
0;0,0814;42
0;0,0813;42
0;0,0858;42
0;0,0819;42
0;0,0814;42
0;0,0814;42
0;0,0813;42
0;0,0814;42
0;0,0813;42
0;0,0813;42
