Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
SA;br17;17;100;432.736;224000;39;7.871794871794871;39;0.4117647058823529;93386;0;8.871794871794872
SA;br17;17;100;305.9038;207000;39;4.128205128205129;39;0.23529411764705882;76880;0;5.128205128205129
SA;br17;17;100;346.0084;219000;39;4.333333333333333;39;0.058823529411764705;87815;0;5.333333333333333
SA;br17;17;100;309.5406;206000;39;6.3076923076923075;39;0.29411764705882354;75226;0;7.3076923076923075
SA;br17;17;100;302.5704;208000;39;2.923076923076923;39;0.11764705882352941;77047;0;3.923076923076923
SA;br17;17;100;246.5743;196000;39;2.2051282051282053;39;0.35294117647058826;65922;0;3.2051282051282053
SA;br17;17;100;298.09200000000004;216000;39;4.948717948717949;39;0.058823529411764705;85298;0;5.948717948717949
SA;br17;17;100;372.90459999999996;220000;39;7.538461538461538;39;0.29411764705882354;89081;0;8.538461538461538
SA;br17;17;100;308.00260000000003;217000;39;4.641025641025641;39;0.11764705882352941;86675;0;5.641025641025641
SA;br17;17;100;297.03200000000004;216000;39;6.6923076923076925;39;0.23529411764705882;85216;0;7.6923076923076925
SA;br17;17;100;291.6616;210000;39;5.0256410256410255;39;0.23529411764705882;78970;0;6.0256410256410255
SA;br17;17;100;347.4618;210000;39;6.435897435897436;39;0.4117647058823529;79291;0;7.435897435897436
SA;br17;17;100;398.9534;214000;39;4.82051282051282;39;0.23529411764705882;83422;0;5.82051282051282
SA;br17;17;100;349.7763;212000;39;4;39;0.23529411764705882;81266;0;5
SA;br17;17;100;338.4125;205000;39;5.358974358974359;39;0.17647058823529413;75219;0;6.358974358974359
SA;br17;17;100;326.91769999999997;210000;39;3.358974358974359;39;0.23529411764705882;79570;0;4.358974358974359
SA;br17;17;100;360.5561;219000;39;6.230769230769231;39;0.17647058823529413;88177;0;7.230769230769231
SA;br17;17;100;379.1736;221000;39;6.769230769230769;39;0.23529411764705882;89860;0;7.769230769230769
SA;br17;17;100;329.329;207000;39;3.2051282051282053;39;0.058823529411764705;76778;0;4.205128205128205
SA;br17;17;100;331.259;206000;39;3.3846153846153846;39;0.058823529411764705;75428;0;4.384615384615385
SA;br17;17;100;323.1475;213000;39;4.512820512820513;39;0.17647058823529413;82180;0;5.512820512820513
SA;br17;17;100;329.2742;211000;39;6.17948717948718;39;0.23529411764705882;80978;0;7.17948717948718
SA;br17;17;100;313.2459;205000;39;4.923076923076923;39;0.17647058823529413;74552;0;5.923076923076923
SA;br17;17;100;308.24629999999996;210000;39;3.923076923076923;39;0.23529411764705882;78970;0;4.923076923076923
SA;br17;17;100;295.6288;217000;39;5.589743589743589;39;0.17647058823529413;85721;0;6.589743589743589
SA;br17;17;100;295.20849999999996;212000;39;6.743589743589744;39;0.23529411764705882;81667;0;7.743589743589744
SA;br17;17;100;315.3793;217000;39;5.589743589743589;39;0.5294117647058824;86287;0;6.589743589743589
SA;br17;17;100;309.3713;215000;39;3.717948717948718;39;0.29411764705882354;84451;0;4.717948717948718
SA;br17;17;100;315.5063;225000;39;6.256410256410256;39;0.17647058823529413;93719;0;7.256410256410256
SA;br17;17;100;373.54900000000004;220000;39;5.6923076923076925;39;0.29411764705882354;89280;0;6.6923076923076925
SA;br17;17;100;321.2544;220000;39;5.589743589743589;39;0.23529411764705882;89072;0;6.589743589743589
SA;br17;17;100;312.32349999999997;221000;39;6.256410256410256;39;0.23529411764705882;89550;0;7.256410256410256
SA;br17;17;100;365.2297;221000;39;5.205128205128205;39;0.4117647058823529;89826;0;6.205128205128205
SA;br17;17;100;351.0634;200000;39;3.1538461538461537;39;0.11764705882352941;69454;0;4.153846153846154
SA;br17;17;100;350.6996;213000;39;5.461538461538462;39;0.23529411764705882;82569;0;6.461538461538462
SA;br17;17;100;325.7214;218000;39;5.461538461538462;39;0.23529411764705882;87406;0;6.461538461538462
SA;br17;17;100;351.88550000000004;217000;39;6.846153846153846;39;0.058823529411764705;86403;0;7.846153846153846
SA;br17;17;100;367.8418;210000;39;5.948717948717949;39;0.29411764705882354;79287;0;6.948717948717949
SA;br17;17;100;371.64029999999997;208000;39;3;39;0.17647058823529413;77513;0;4
SA;br17;17;100;353.811;216000;39;6;39;0.17647058823529413;84876;0;7
SA;br17;17;100;372.8032;221000;39;6.769230769230769;39;0.29411764705882354;90267;0;7.769230769230769
SA;br17;17;100;305.4054;212000;39;3.717948717948718;39;0.17647058823529413;81004;0;4.717948717948718
