Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
Tabu;br17;17;30;548.3635;5002;73;3.1025641025641026;39;0;10004;0.8717948717948718;2.191780821917808
Tabu;br17;17;30;478.43980000000005;5002;78;4.282051282051282;39;0.11764705882352941;10004;1;2.641025641025641
Tabu;br17;17;30;515.7703;5002;201;8.025641025641026;39;0.058823529411764705;10004;4.153846153846154;1.7512437810945274
Tabu;br17;17;30;512.2446000000001;5002;146;5.102564102564102;39;0.058823529411764705;10004;2.7435897435897436;1.63013698630137
Tabu;br17;17;30;491.0649;5002;123;6.538461538461538;39;0.11764705882352941;10004;2.1538461538461537;2.3902439024390243
Tabu;br17;17;30;485.7204;5002;119;7.9743589743589745;39;0.11764705882352941;10004;2.051282051282051;2.9411764705882355
Tabu;br17;17;30;474.2445;5002;131;6.128205128205129;39;0.11764705882352941;10004;2.358974358974359;2.122137404580153
Tabu;br17;17;30;507.0589;5002;109;3.7948717948717947;39;0.11764705882352941;10004;1.794871794871795;1.7155963302752293
Tabu;br17;17;30;540.6988;5002;129;6.743589743589744;39;0.058823529411764705;10004;2.3076923076923075;2.3410852713178296
Tabu;br17;17;30;561.1988;5002;140;6.512820512820513;39;0.058823529411764705;10004;2.58974358974359;2.092857142857143
Tabu;br17;17;30;528.2629;5002;141;8.58974358974359;39;0.17647058823529413;10004;2.6153846153846154;2.652482269503546
Tabu;br17;17;30;528.3006;5002;180;7.0256410256410255;39;0.11764705882352941;10004;3.6153846153846154;1.738888888888889
Tabu;br17;17;30;498.2894;5002;139;5.6923076923076925;39;0.11764705882352941;10004;2.5641025641025643;1.8776978417266188
Tabu;br17;17;30;501.4931;5002;138;5.743589743589744;39;0;10004;2.5384615384615383;1.9057971014492754
Tabu;br17;17;30;503.7358;5002;134;6.871794871794871;39;0.058823529411764705;10004;2.4358974358974357;2.291044776119403
Tabu;br17;17;30;498.5096;5002;114;4.512820512820513;39;0.058823529411764705;10004;1.9230769230769231;1.8859649122807018
Tabu;br17;17;30;486.8527;5002;108;3.230769230769231;39;0.29411764705882354;10004;1.7692307692307692;1.5277777777777777
Tabu;br17;17;30;551.024;5002;141;5;39;0.23529411764705882;10004;2.6153846153846154;1.6595744680851063
Tabu;br17;17;30;525.9219;5002;148;5.948717948717949;39;0.058823529411764705;10004;2.7948717948717947;1.8310810810810811
Tabu;br17;17;30;541.4907;5002;177;6.743589743589744;39;0;10004;3.5384615384615383;1.7062146892655368
Tabu;br17;17;30;562.606;5002;96;3.6923076923076925;39;0.058823529411764705;10004;1.4615384615384615;1.90625
Tabu;br17;17;30;526.8190000000001;5002;129;6;39;0;10004;2.3076923076923075;2.116279069767442
Tabu;br17;17;30;494.2838;5002;108;3.641025641025641;39;0.17647058823529413;10004;1.7692307692307692;1.6759259259259258
Tabu;br17;17;30;502.2462;5002;130;4.743589743589744;39;0;10004;2.3333333333333335;1.7230769230769232
Tabu;br17;17;30;565.5641999999999;5002;178;7;39;0;10004;3.5641025641025643;1.752808988764045
Tabu;br17;17;30;535.3000999999999;5002;71;2.4358974358974357;39;0.17647058823529413;10004;0.8205128205128205;1.8873239436619718
Tabu;br17;17;30;605.9571000000001;5002;89;3.1794871794871793;39;0.058823529411764705;10004;1.2820512820512822;1.8314606741573034
Tabu;br17;17;30;531.3324;5002;94;4.641025641025641;39;0.11764705882352941;10004;1.4102564102564104;2.3404255319148937
Tabu;br17;17;30;539.5412;5002;178;6.333333333333333;39;0.058823529411764705;10004;3.5641025641025643;1.6067415730337078
Tabu;br17;17;30;612.3437;5002;103;5.384615384615385;39;0.23529411764705882;10004;1.641025641025641;2.4174757281553396
