Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
greedy;br17;17;100;13.2746;453;46;3.5384615384615383;39;0.11764705882352941;14;0.1794871794871795;3.847826086956522
greedy;br17;17;100;4.4369;425;46;7.794871794871795;39;0.11764705882352941;15;0.1794871794871795;7.456521739130435
greedy;br17;17;100;0.38470000000000004;324;63;4.846153846153846;39;0.29411764705882354;10;0.6153846153846154;3.619047619047619
greedy;br17;17;100;0.6502;546;57;4.564102564102564;39;0.17647058823529413;17;0.46153846153846156;3.807017543859649
greedy;br17;17;100;1.0624;334;42;4.0256410256410255;39;0.23529411764705882;10;0.07692307692307693;4.666666666666667
greedy;br17;17;100;0.6501;485;42;7.461538461538462;39;0.23529411764705882;21;0.07692307692307693;7.857142857142857
greedy;br17;17;100;0.4661;331;60;4.717948717948718;39;0.17647058823529413;11;0.5384615384615384;3.716666666666667
greedy;br17;17;100;1.7596999999999998;412;55;6.102564102564102;39;0.17647058823529413;20;0.41025641025641024;5.036363636363636
greedy;br17;17;100;0.7292000000000001;598;58;3.4358974358974357;39;0.35294117647058826;11;0.48717948717948717;2.9827586206896552
greedy;br17;17;100;0.2994;257;49;6.17948717948718;39;0.23529411764705882;15;0.2564102564102564;5.714285714285714
greedy;br17;17;100;1.0106;293;49;5.205128205128205;39;0.4117647058823529;17;0.2564102564102564;4.938775510204081
greedy;br17;17;100;0.6938;584;55;4.769230769230769;39;0.17647058823529413;16;0.41025641025641024;4.090909090909091
greedy;br17;17;100;1.2701;397;40;6.641025641025641;39;0.11764705882352941;19;0.02564102564102564;7.45
greedy;br17;17;100;0.5472;457;40;2.282051282051282;39;0.47058823529411764;11;0.02564102564102564;3.2
greedy;br17;17;100;0.34919999999999995;289;46;6.17948717948718;39;0.17647058823529413;15;0.1794871794871795;6.086956521739131
greedy;br17;17;100;1.7106999999999999;663;40;2.923076923076923;39;0.29411764705882354;16;0.02564102564102564;3.825
greedy;br17;17;100;0.6549;561;39;4.230769230769231;39;1;16;0;5.230769230769231
greedy;br17;17;100;1.2352;442;58;3.8461538461538463;39;0.29411764705882354;14;0.48717948717948717;3.2586206896551726
greedy;br17;17;100;0.7716999999999999;697;53;5.230769230769231;39;0.11764705882352941;15;0.358974358974359;4.584905660377358
greedy;br17;17;100;1.3042;399;41;6.256410256410256;39;0.11764705882352941;20;0.05128205128205128;6.902439024390244
greedy;br17;17;100;0.4736;412;42;3.717948717948718;39;0.29411764705882354;14;0.07692307692307693;4.380952380952381
greedy;br17;17;100;0.3448;326;59;3.769230769230769;39;0.17647058823529413;10;0.5128205128205128;3.152542372881356
greedy;br17;17;100;1.4944;307;50;4.564102564102564;39;0.17647058823529413;11;0.28205128205128205;4.34
greedy;br17;17;100;0.8377;789;44;5;39;0.058823529411764705;20;0.1282051282051282;5.318181818181818
greedy;br17;17;100;0.3618;438;55;2.4615384615384617;39;0.29411764705882354;11;0.41025641025641024;2.4545454545454546
greedy;br17;17;100;1.3367;611;40;5.230769230769231;39;0.23529411764705882;23;0.02564102564102564;6.075
greedy;br17;17;100;0.363;308;46;6.153846153846154;39;0.17647058823529413;11;0.1794871794871795;6.065217391304348
greedy;br17;17;100;0.333;284;50;5.256410256410256;39;0.29411764705882354;15;0.28205128205128205;4.88
greedy;br17;17;100;2.0069;516;40;3.7948717948717947;39;0.35294117647058826;21;0.02564102564102564;4.675
greedy;br17;17;100;0.678;315;40;3.230769230769231;39;0.23529411764705882;12;0.02564102564102564;4.125
greedy;br17;17;100;1.5271;420;42;6.897435897435898;39;0.11764705882352941;13;0.07692307692307693;7.333333333333333
greedy;br17;17;100;0.5837;402;50;2.871794871794872;39;0.23529411764705882;16;0.28205128205128205;3.02
greedy;br17;17;100;0.4087;311;44;4.128205128205129;39;0.11764705882352941;14;0.1282051282051282;4.545454545454546
greedy;br17;17;100;1.3468;599;40;2.282051282051282;39;0.17647058823529413;12;0.02564102564102564;3.2
greedy;br17;17;100;0.2472;203;44;2.1025641025641026;39;0.17647058823529413;11;0.1282051282051282;2.75
greedy;br17;17;100;1.3919;555;53;5.564102564102564;39;0.11764705882352941;14;0.358974358974359;4.830188679245283
greedy;br17;17;100;1.5421;585;47;7;39;0.11764705882352941;11;0.20512820512820512;6.638297872340425
greedy;br17;17;100;0.3638;373;42;6.230769230769231;39;0.17647058823529413;22;0.07692307692307693;6.714285714285714
greedy;br17;17;100;0.3831;348;55;2.1538461538461537;39;0.23529411764705882;7;0.41025641025641024;2.2363636363636363
greedy;br17;17;100;1.1619;416;44;8.512820512820513;39;0.23529411764705882;15;0.1282051282051282;8.431818181818182
greedy;br17;17;100;0.5013;424;39;6;39;0;17;0;7
greedy;br17;17;100;1.4474;428;58;5.564102564102564;39;0.058823529411764705;13;0.48717948717948717;4.413793103448276
greedy;br17;17;100;0.44079999999999997;446;58;4.923076923076923;39;0.35294117647058826;12;0.48717948717948717;3.9827586206896552
greedy;br17;17;100;0.19440000000000002;319;84;6.0256410256410255;39;0;13;1.1538461538461537;3.261904761904762
greedy;br17;17;100;0.9724;336;44;5;39;0.4117647058823529;9;0.1282051282051282;5.318181818181818
greedy;br17;17;100;0.2845;274;44;8.948717948717949;39;0.17647058823529413;14;0.1282051282051282;8.818181818181818
greedy;br17;17;100;0.4259;412;40;5.615384615384615;39;0.11764705882352941;17;0.02564102564102564;6.45
greedy;br17;17;100;1.9459;689;39;5.128205128205129;39;0.17647058823529413;17;0;6.128205128205129
greedy;br17;17;100;0.7208;465;56;4.9743589743589745;39;0.17647058823529413;12;0.4358974358974359;4.160714285714286
greedy;br17;17;100;1.4165;319;39;6.589743589743589;39;0.11764705882352941;11;0;7.589743589743589
greedy;br17;17;100;0.3054;270;59;5.333333333333333;39;0.17647058823529413;18;0.5128205128205128;4.186440677966102
greedy;br17;17;100;0.3043;284;49;7;39;0.11764705882352941;16;0.2564102564102564;6.36734693877551
greedy;br17;17;100;1.5369;537;46;5.512820512820513;39;0.29411764705882354;19;0.1794871794871795;5.521739130434782
greedy;br17;17;100;0.7015;390;46;7.3076923076923075;39;0.23529411764705882;18;0.1794871794871795;7.043478260869565
greedy;br17;17;100;0.462;390;44;3.641025641025641;39;0.11764705882352941;15;0.1282051282051282;4.113636363636363
greedy;br17;17;100;1.8694;662;39;8;39;0.11764705882352941;21;0;9
greedy;br17;17;100;2.1766;753;41;6.923076923076923;39;0.29411764705882354;29;0.05128205128205128;7.536585365853658
greedy;br17;17;100;0.4483;430;42;7.948717948717949;39;0.23529411764705882;17;0.07692307692307693;8.30952380952381
greedy;br17;17;100;1.2133;403;50;4.82051282051282;39;0.17647058823529413;18;0.28205128205128205;4.54
greedy;br17;17;100;0.2594;278;55;5.205128205128205;39;0.058823529411764705;16;0.41025641025641024;4.4
greedy;br17;17;100;0.5559999999999999;573;42;4.846153846153846;39;0.17647058823529413;13;0.07692307692307693;5.428571428571429
greedy;br17;17;100;1.2326;364;58;2.3333333333333335;39;0.4117647058823529;6;0.48717948717948717;2.2413793103448274
greedy;br17;17;100;0.2128;203;55;3.7948717948717947;39;0.17647058823529413;8;0.41025641025641024;3.4
greedy;br17;17;100;0.4567;218;59;1.205128205128205;39;0.17647058823529413;6;0.5128205128205128;1.4576271186440677
greedy;br17;17;100;1.8745999999999998;687;39;4.589743589743589;39;0.11764705882352941;16;0;5.589743589743589
greedy;br17;17;100;0.4133;318;46;5.769230769230769;39;0.47058823529411764;12;0.1794871794871795;5.739130434782608
greedy;br17;17;100;0.3503;309;47;3.3333333333333335;39;0.11764705882352941;10;0.20512820512820512;3.595744680851064
greedy;br17;17;100;0.4779;379;56;6.769230769230769;39;0.11764705882352941;20;0.4358974358974359;5.410714285714286
greedy;br17;17;100;2.0073;421;44;7.435897435897436;39;0.11764705882352941;14;0.1282051282051282;7.4772727272727275
greedy;br17;17;100;0.5005;386;42;4.897435897435898;39;0.11764705882352941;17;0.07692307692307693;5.476190476190476
greedy;br17;17;100;0.5867;402;47;6;39;0.23529411764705882;19;0.20512820512820512;5.808510638297872
greedy;br17;17;100;1.4848999999999999;422;53;5.051282051282051;39;0.17647058823529413;20;0.358974358974359;4.452830188679245
greedy;br17;17;100;0.4757;417;42;3.871794871794872;39;0.17647058823529413;18;0.07692307692307693;4.523809523809524
greedy;br17;17;100;0.3922;378;47;8.23076923076923;39;0.23529411764705882;21;0.20512820512820512;7.659574468085107
greedy;br17;17;100;1.1272;397;42;6.17948717948718;39;0.35294117647058826;19;0.07692307692307693;6.666666666666667
greedy;br17;17;100;0.5352;467;40;2.7948717948717947;39;0.23529411764705882;12;0.02564102564102564;3.7
greedy;br17;17;100;0.3506;302;49;6.256410256410256;39;0.29411764705882354;14;0.2564102564102564;5.775510204081633
