Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random walk;br17;17;100;2.1841;1;207;4.358974358974359;39;0;1;4.3076923076923075;1.0096618357487923
random walk;br17;17;100;2.0010000000000003;608;303;2.769230769230769;39;0.058823529411764705;245;6.769230769230769;0.48514851485148514
random walk;br17;17;100;2.0021;1005;357;2.1794871794871793;39;0.058823529411764705;394;8.153846153846153;0.3473389355742297
random walk;br17;17;100;2.0006;1115;255;6.153846153846154;39;0.11764705882352941;453;5.538461538461538;1.0941176470588236
random walk;br17;17;100;2.1013;1548;183;6.384615384615385;39;0.058823529411764705;614;3.6923076923076925;1.5737704918032787
random walk;br17;17;100;2.0005;1284;310;3.923076923076923;39;0;507;6.948717948717949;0.6193548387096774
random walk;br17;17;100;2.2432;1809;244;6.564102564102564;39;0.11764705882352941;743;5.256410256410256;1.209016393442623
random walk;br17;17;100;2.0005;1317;214;6.384615384615385;39;0;499;4.487179487179487;1.3457943925233644
random walk;br17;17;100;2.0003;1397;222;7.589743589743589;39;0;590;4.6923076923076925;1.509009009009009
random walk;br17;17;100;2.0806;644;213;3.7948717948717947;39;0.17647058823529413;262;4.461538461538462;0.8779342723004695
random walk;br17;17;100;2.1914000000000002;809;173;3.5641025641025643;39;0.058823529411764705;316;3.4358974358974357;1.0289017341040463
random walk;br17;17;100;2.1904;1017;287;6.205128205128205;39;0;385;6.358974358974359;0.9790940766550522
random walk;br17;17;100;2.5012;926;272;3.923076923076923;39;0;366;5.9743589743589745;0.7058823529411765
random walk;br17;17;100;2.0005;1449;225;0.7435897435897436;39;0.17647058823529413;598;4.769230769230769;0.3022222222222222
random walk;br17;17;100;2.0004;1399;280;4.102564102564102;39;0.11764705882352941;562;6.17948717948718;0.7107142857142857
random walk;br17;17;100;2.0002;1483;244;5.769230769230769;39;0.058823529411764705;588;5.256410256410256;1.0819672131147542
random walk;br17;17;100;2.0012;663;245;4.230769230769231;39;0.058823529411764705;272;5.282051282051282;0.8326530612244898
random walk;br17;17;100;2.7020999999999997;652;228;6.512820512820513;39;0.058823529411764705;261;4.846153846153846;1.2850877192982457
random walk;br17;17;100;2.0379;897;156;5.461538461538462;39;0;370;3;1.6153846153846154
random walk;br17;17;100;2.3202000000000003;881;154;5.102564102564102;39;0.17647058823529413;362;2.948717948717949;1.5454545454545454
random walk;br17;17;100;2.0317;1063;216;4.641025641025641;39;0;423;4.538461538461538;1.0185185185185186
random walk;br17;17;100;2.0003;1024;344;2.5641025641025643;39;0.058823529411764705;420;7.82051282051282;0.40406976744186046
random walk;br17;17;100;2.0008999999999997;1053;242;7.589743589743589;39;0;431;5.205128205128205;1.384297520661157
random walk;br17;17;100;2.0006;1087;232;4.897435897435898;39;0;411;4.948717948717949;0.9913793103448276
random walk;br17;17;100;2.0006;399;170;5.333333333333333;39;0.058823529411764705;168;3.358974358974359;1.4529411764705882
random walk;br17;17;100;2.7104999999999997;414;198;6.076923076923077;39;0.058823529411764705;171;4.076923076923077;1.393939393939394
random walk;br17;17;100;2.0011;666;293;3.923076923076923;39;0.058823529411764705;268;6.512820512820513;0.6552901023890785
random walk;br17;17;100;2.7035;750;262;4.384615384615385;39;0.058823529411764705;311;5.717948717948718;0.8015267175572519
random walk;br17;17;100;2.2242;1137;188;2.923076923076923;39;0.058823529411764705;445;3.8205128205128207;0.8138297872340425
random walk;br17;17;100;2.0010000000000003;874;192;4.846153846153846;39;0.11764705882352941;345;3.923076923076923;1.1875
random walk;br17;17;100;2.0011;1028;291;8.205128205128204;39;0.11764705882352941;415;6.461538461538462;1.2336769759450172
random walk;br17;17;100;2.0002;1075;217;5.6923076923076925;39;0;449;4.564102564102564;1.2027649769585254
random walk;br17;17;100;2.7062000000000004;400;354;5.051282051282051;39;0;162;8.076923076923077;0.6666666666666666
random walk;br17;17;100;2.5978;986;220;6.435897435897436;39;0.11764705882352941;410;4.641025641025641;1.3181818181818181
random walk;br17;17;100;2.2163999999999997;777;279;6.153846153846154;39;0;297;6.153846153846154;1
random walk;br17;17;100;2.4267;1078;249;4.717948717948718;39;0;437;5.384615384615385;0.8955823293172691
random walk;br17;17;100;2.2107;907;198;5.435897435897436;39;0;343;4.076923076923077;1.2676767676767677
random walk;br17;17;100;2.0004;893;251;7;39;0;360;5.435897435897436;1.2430278884462151
random walk;br17;17;100;2.0598;1048;317;5.666666666666667;39;0;397;7.128205128205129;0.8201892744479495
random walk;br17;17;100;3.5155999999999996;656;284;7.923076923076923;39;0;266;6.282051282051282;1.2253521126760563
random walk;br17;17;100;2.1589;484;255;4.461538461538462;39;0.17647058823529413;203;5.538461538461538;0.8352941176470589
random walk;br17;17;100;2.197;710;286;6;39;0;284;6.333333333333333;0.9545454545454546
random walk;br17;17;100;2.3617999999999997;761;149;6;39;0.11764705882352941;317;2.8205128205128207;1.832214765100671
