Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random;br17;17;100;2.0013;117;158;3.7948717948717947;39;0.058823529411764705;62;3.051282051282051;1.1835443037974684
random;br17;17;100;2.0003;560;291;5.923076923076923;39;0;279;6.461538461538462;0.9278350515463918
random;br17;17;100;2.0106;354;155;7.256410256410256;39;0.058823529411764705;171;2.9743589743589745;2.07741935483871
random;br17;17;100;2.5112;560;341;4.17948717948718;39;0.058823529411764705;276;7.743589743589744;0.592375366568915
random;br17;17;100;2.0014999999999996;735;140;5.435897435897436;39;0.35294117647058826;364;2.58974358974359;1.792857142857143
random;br17;17;100;2.0373;449;209;3.948717948717949;39;0.11764705882352941;212;4.358974358974359;0.9234449760765551
random;br17;17;100;2.9467999999999996;342;163;5.743589743589744;39;0.058823529411764705;174;3.1794871794871793;1.6134969325153374
random;br17;17;100;2.3611;456;233;5.897435897435898;39;0;229;4.9743589743589745;1.1545064377682404
random;br17;17;100;2.1087;435;323;5.717948717948718;39;0;219;7.282051282051282;0.8111455108359134
random;br17;17;100;2.3032999999999997;510;223;6.051282051282051;39;0.11764705882352941;251;4.717948717948718;1.2331838565022422
random;br17;17;100;4.1095999999999995;541;284;5.461538461538462;39;0.058823529411764705;272;6.282051282051282;0.8873239436619719
random;br17;17;100;2.3295;236;167;4.717948717948718;39;0.058823529411764705;117;3.282051282051282;1.3353293413173652
random;br17;17;100;2.0003;438;180;6.230769230769231;39;0.11764705882352941;226;3.6153846153846154;1.5666666666666667
random;br17;17;100;2.013;412;271;7.871794871794871;39;0.11764705882352941;207;5.948717948717949;1.2767527675276753
random;br17;17;100;2.3426;389;221;4.769230769230769;39;0.058823529411764705;196;4.666666666666667;1.0180995475113122
random;br17;17;100;2.0014999999999996;465;202;6.282051282051282;39;0;233;4.17948717948718;1.4059405940594059
random;br17;17;100;2.5006;192;314;3.4615384615384617;39;0.058823529411764705;89;7.051282051282051;0.554140127388535
random;br17;17;100;2.0141999999999998;458;153;4.17948717948718;39;0.17647058823529413;224;2.923076923076923;1.3202614379084967
random;br17;17;100;2.0011;561;128;5.153846153846154;39;0.058823529411764705;276;2.282051282051282;1.875
random;br17;17;100;2.0013;561;207;6.666666666666667;39;0.058823529411764705;285;4.3076923076923075;1.4444444444444444
random;br17;17;100;3.0831999999999997;225;308;7.230769230769231;39;0;108;6.897435897435898;1.0422077922077921
random;br17;17;100;2.0637;373;222;3.128205128205128;39;0;193;4.6923076923076925;0.7252252252252253
random;br17;17;100;2.8457;484;236;7.82051282051282;39;0;236;5.051282051282051;1.4576271186440677
random;br17;17;100;2.0017;584;346;6.256410256410256;39;0;292;7.871794871794871;0.8179190751445087
random;br17;17;100;2.0008;772;321;4.923076923076923;39;0;397;7.230769230769231;0.719626168224299
random;br17;17;100;2.4637000000000002;657;176;5.461538461538462;39;0.11764705882352941;322;3.5128205128205128;1.4318181818181819
