Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
steepest;br17;17;30;4.7507;816;39;1.3333333333333333;39;0.35294117647058826;17;0;2.3333333333333335
steepest;br17;17;30;3.2702999999999998;952;46;2.5128205128205128;39;0.17647058823529413;15;0.1794871794871795;2.9782608695652173
steepest;br17;17;30;0.8451;680;47;6.051282051282051;39;0.17647058823529413;19;0.20512820512820512;5.851063829787234
steepest;br17;17;30;1.4104;816;50;6.384615384615385;39;0.17647058823529413;25;0.28205128205128205;5.76
steepest;br17;17;30;1.3002999999999998;680;55;4.666666666666667;39;0.23529411764705882;15;0.41025641025641024;4.0181818181818185
steepest;br17;17;30;0.9021;952;39;6.564102564102564;39;0.23529411764705882;29;0;7.564102564102564
steepest;br17;17;30;1.2818;952;50;6;39;0.23529411764705882;25;0.28205128205128205;5.46
steepest;br17;17;30;1.7175999999999998;1088;50;7.128205128205129;39;0.23529411764705882;20;0.28205128205128205;6.34
steepest;br17;17;30;1.3172;816;42;3.2564102564102564;39;0.23529411764705882;18;0.07692307692307693;3.9523809523809526
steepest;br17;17;30;0.6933;816;44;6.3076923076923075;39;0.29411764705882354;23;0.1282051282051282;6.4772727272727275
steepest;br17;17;30;2.3659000000000003;816;40;6.461538461538462;39;0.17647058823529413;22;0.02564102564102564;7.275
steepest;br17;17;30;0.7302;816;49;7.205128205128205;39;0.11764705882352941;18;0.2564102564102564;6.530612244897959
steepest;br17;17;30;1.2518;680;41;3.282051282051282;39;0.29411764705882354;13;0.05128205128205128;4.073170731707317
steepest;br17;17;30;1.5842;952;40;5.051282051282051;39;0.35294117647058826;19;0.02564102564102564;5.9
steepest;br17;17;30;1.1305;1088;56;5.435897435897436;39;0.29411764705882354;24;0.4358974358974359;4.482142857142857
steepest;br17;17;30;1.254;544;50;5.615384615384615;39;0.17647058823529413;13;0.28205128205128205;5.16
steepest;br17;17;30;0.7986;816;46;4.256410256410256;39;0.17647058823529413;21;0.1794871794871795;4.456521739130435
steepest;br17;17;30;1.7213;1088;50;6.6923076923076925;39;0.29411764705882354;23;0.28205128205128205;6
steepest;br17;17;30;1.9465000000000001;816;46;4.769230769230769;39;0.11764705882352941;23;0.1794871794871795;4.891304347826087
steepest;br17;17;30;1.5707;952;40;3.7948717948717947;39;0.17647058823529413;25;0.02564102564102564;4.675
steepest;br17;17;30;1.9189999999999998;1088;46;7.410256410256411;39;0.23529411764705882;31;0.1794871794871795;7.130434782608695
steepest;br17;17;30;0.9345;816;60;7.538461538461538;39;0.17647058823529413;20;0.5384615384615384;5.55
steepest;br17;17;30;6.0292;1360;40;5.384615384615385;39;0.11764705882352941;34;0.02564102564102564;6.225
steepest;br17;17;30;1.6798;680;58;2.717948717948718;39;0.17647058823529413;14;0.48717948717948717;2.5
steepest;br17;17;30;1.9284000000000001;952;44;5.871794871794871;39;0.058823529411764705;19;0.1282051282051282;6.090909090909091
steepest;br17;17;30;0.7194;680;69;4.461538461538462;39;0.17647058823529413;19;0.7692307692307693;3.0869565217391304
steepest;br17;17;30;1.5424;952;41;4.512820512820513;39;0.23529411764705882;20;0.05128205128205128;5.2439024390243905
steepest;br17;17;30;1.89;1088;39;5.3076923076923075;39;0.35294117647058826;31;0;6.3076923076923075
steepest;br17;17;30;1.6257000000000001;1088;44;8.025641025641026;39;0.11764705882352941;34;0.1282051282051282;8
steepest;br17;17;30;2.0749;952;47;7.102564102564102;39;0.29411764705882354;22;0.20512820512820512;6.723404255319149
