Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
SA;ft53;53;100;420.82890000000003;262000;8456;2.8667632150615496;6905;0.4716981132075472;57311;0.22461984069514845;3.1575212866603595
SA;ft53;53;100;391.86530000000005;248000;8079;2.9239681390296886;6905;0.33962264150943394;43723;0.17002172338884866;3.35375665305112
SA;ft53;53;100;435.9493;264000;7834;2.997538015930485;6905;0.5283018867924528;58679;0.13454018826937003;3.5234873627776357
SA;ft53;53;100;408.8253;265000;8427;3.0127443881245473;6905;0.4528301886792453;59287;0.22041998551774078;3.288002847988608
SA;ft53;53;100;377.91089999999997;265000;8539;2.591745112237509;6905;0.32075471698113206;59899;0.23664011585807385;2.904438458835929
SA;ft53;53;100;362.99399999999997;259000;8789;2.7714699493120927;6905;0.3584905660377358;53710;0.27284576393917453;2.963021959267266
SA;ft53;53;100;403.1212;264000;9008;2.9378711078928315;6905;0.4339622641509434;59138;0.30456191165821866;3.018539076376554
SA;ft53;53;100;385.2918;262000;8606;2.6295438088341783;6905;0.39622641509433965;57160;0.24634322954380883;2.912154310945852
SA;ft53;53;100;401.9756;250000;9373;2.622737146994931;6905;0.37735849056603776;45234;0.3574221578566256;2.6688360183505813
SA;ft53;53;100;405.3941;261000;9371;2.9170166545981173;6905;0.24528301886792453;55948;0.3571325126719768;2.8862447977803862
SA;ft53;53;100;375.5256;261000;9110;2.682404055032585;6905;0.24528301886792453;56315;0.31933381607530775;2.7911086717892424
SA;ft53;53;100;470.5972;250000;8703;2.575524981897176;6905;0.4339622641509434;45369;0.2603910209992759;2.8368378719981617
SA;ft53;53;100;407.2578;251000;8608;2.855032585083273;6905;0.37735849056603776;46613;0.24663287472845763;3.09235594795539
SA;ft53;53;100;425.1456;263000;7941;2.759449674149167;6905;0.49056603773584906;57786;0.1500362056480811;3.2689837551945597
SA;ft53;53;100;439.3882;256000;8705;2.835626357711803;6905;0.33962264150943394;51060;0.2606806661839247;3.0425043078690406
SA;ft53;53;100;503.2434;266000;7478;3.0209992758870383;6905;1;60840;0.0829833454018827;3.712891147365606
SA;ft53;53;100;420.39149999999995;259000;8798;2.740622737146995;6905;0.24528301886792453;53565;0.27414916727009414;2.9357808592862016
SA;ft53;53;100;456.2099;257000;8344;2.7031136857349747;6905;0.3584905660377358;52310;0.20839971035481536;3.064477468839885
SA;ft53;53;100;387.5753;255000;8310;2.805358435916003;6905;0.4528301886792453;49786;0.20347574221578565;3.1619735258724426
SA;ft53;53;100;369.26009999999997;262000;8395;2.7314989138305577;6905;0.3584905660377358;57170;0.21578566256335988;3.0692078618225134
SA;ft53;53;100;370.84319999999997;261000;9162;2.8711078928312816;6905;0.4716981132075472;55311;0.3268645908761767;2.9174852652259333
SA;ft53;53;100;453.18589999999995;263000;9166;2.796524257784214;6905;0.2641509433962264;57641;0.3274438812454743;2.8600261837224528
SA;ft53;53;100;477.33009999999996;256000;8911;2.5765387400434467;6905;0.3584905660377358;50993;0.29051412020275164;2.7714061272584445
SA;ft53;53;100;491.6848;260000;8193;2.756118754525706;6905;0.37735849056603776;55467;0.18653149891383056;3.1656291956548275
SA;ft53;53;100;498.365;267000;9073;2.899058653149891;6905;0.22641509433962265;62129;0.3139753801593049;2.967375730188471
SA;ft53;53;100;439.88719999999995;264000;8837;2.891383055756698;6905;0.39622641509433965;59133;0.2797972483707458;3.0406246463732036
SA;ft53;53;100;407.2019;264000;8620;2.8070963070238957;6905;0.2830188679245283;59318;0.24837074583635046;3.049651972157773
SA;ft53;53;100;410.61350000000004;259000;8683;2.759015206372194;6905;0.37735849056603776;53355;0.25749456915278784;2.989289416100426
SA;ft53;53;100;400.2428;260000;8009;3.0742939898624186;6905;0.4339622641509434;55263;0.15988414192614048;3.5126732426020726
SA;ft53;53;100;412.9633;266000;8828;2.774076755973932;6905;0.33962264150943394;61220;0.2784938450398262;2.9519710013593112
SA;ft53;53;100;399.2833;264000;8638;2.974511223750905;6905;0.4716981132075472;58837;0.2509775524981897;3.177124334336652
SA;ft53;53;100;390.9217;256000;7944;2.8912382331643736;6905;0.4339622641509434;50909;0.1504706734250543;3.38230110775428
SA;ft53;53;100;405.935;253000;8483;2.820854453294714;6905;0.18867924528301888;48057;0.22853005068790733;3.110102558057291
SA;ft53;53;100;441.3763;269000;8493;2.800724112961622;6905;0.41509433962264153;63540;0.22997827661115133;3.090074178735429
SA;ft53;53;100;422.7898;262000;8631;2.6721216509775525;6905;0.32075471698113206;56620;0.2499637943519189;2.937782412234967
SA;ft53;53;100;396.6418;260000;9075;2.7955104996379436;6905;0.37735849056603776;54719;0.3142650253439537;2.887933884297521
SA;ft53;53;100;347.054;260000;8424;2.5771180304127443;6905;0.37735849056603776;55909;0.21998551774076755;2.932098765432099
SA;ft53;53;100;367.588;270000;8941;2.7559739319333816;6905;0.41509433962264153;65400;0.2948587979724837;2.9006822503075718
SA;ft53;53;100;347.021;250000;8745;2.7012309920347573;6905;0.24528301886792453;45713;0.2664735698769008;2.9224699828473413
SA;ft53;53;100;330.715;254000;8039;2.7774076755973933;6905;0.3584905660377358;49715;0.16422881969587255;3.2445577808185098
SA;ft53;53;100;352.74850000000004;255000;8757;2.8537291817523536;6905;0.2830188679245283;50567;0.2682114409847936;3.038711887632751
SA;ft53;53;100;355.18149999999997;258000;8853;3.0066618392469224;6905;0.32075471698113206;53011;0.2821144098479363;3.125042358522535
SA;ft53;53;100;335.7267;261000;7482;2.69572773352643;6905;0.5094339622641509;56360;0.08356263577118031;3.4107190590751135
SA;ft53;53;100;344.3095;261000;9463;2.5981173062997827;6905;0.3584905660377358;56050;0.37045619116582185;2.6254887456409173
SA;ft53;53;100;376.6391;260000;8803;2.767270094134685;6905;0.4339622641509434;55176;0.27487328023171614;2.955015335681018
SA;ft53;53;100;374.774;257000;9094;2.603186097031137;6905;0.3584905660377358;51941;0.3170166545981173;2.7358698042665495
SA;ft53;53;100;383.7526;262000;8918;2.9724837074583634;6905;0.4339622641509434;57535;0.29152787834902244;3.075801749271137
SA;ft53;53;100;531.9401;260000;8171;2.47762490948588;6905;0.5094339622641509;54967;0.1833454018826937;2.9388079794394812
SA;ft53;53;100;529.8035;254000;9073;2.583345401882694;6905;0.37735849056603776;49818;0.3139753801593049;2.727102391711672
SA;ft53;53;100;473.8487;257000;7802;2.933091962346126;6905;0.41509433962264153;52221;0.12990586531498913;3.4809023327351962
SA;ft53;53;100;478.28110000000004;259000;8896;2.778131788559015;6905;0.37735849056603776;53508;0.28834178131788557;2.9325539568345325
SA;ft53;53;100;447.89119999999997;264000;8362;2.7620564808110064;6905;0.39622641509433965;58379;0.2110065170166546;3.106553456110978
SA;ft53;53;100;450.202;270000;8312;2.6249094858797974;6905;0.5094339622641509;64595;0.20376538740043446;3.0113089509143407
SA;ft53;53;100;460.0724;258000;8167;2.866183924692252;6905;0.39622641509433965;52699;0.18276611151339608;3.2687645402228482
SA;ft53;53;100;425.5884;264000;8852;2.7847936278059375;6905;0.5283018867924528;58565;0.2819695872556119;2.9523271577044734
SA;ft53;53;100;454.9951;263000;8533;2.7901520637219406;6905;0.39622641509433965;58578;0.23577118030412744;3.0670338685104888
SA;ft53;53;100;379.5445;259000;8589;2.7138305575669803;6905;0.24528301886792453;53820;0.243881245474294;2.9856793573174993
SA;ft53;53;100;423.6432;263000;8210;2.731354091238233;6905;0.4528301886792453;57595;0.1889934829833454;3.138246041412911
SA;ft53;53;100;484.7199;257000;8415;2.8415640839971035;6905;0.39622641509433965;52022;0.21868211440984794;3.15222816399287
SA;ft53;53;100;545.7956;259000;8481;2.9458363504706733;6905;0.37735849056603776;54019;0.2282404055032585;3.212592854616201
SA;ft53;53;100;424.4774;258000;9523;2.656046343229544;6905;0.24528301886792453;53169;0.37914554670528605;2.650950330778116
SA;ft53;53;100;384.28200000000004;258000;9467;2.7436640115858073;6905;0.32075471698113206;53446;0.3710354815351195;2.7305376571247493
SA;ft53;53;100;389.88329999999996;258000;9090;2.6948587979724836;6905;0.3584905660377358;53458;0.3164373642288197;2.8067106710671066
SA;ft53;53;100;402.0568;254000;8394;2.6490948587979726;6905;0.5094339622641509;49464;0.21564083997103548;3.0017869907076484
SA;ft53;53;100;374.6366;260000;9235;2.628674873280232;6905;0.37735849056603776;55488;0.33743664011585806;2.7131564699512722
SA;ft53;53;100;404.20279999999997;257000;8339;2.773787110789283;6905;0.5471698113207547;51655;0.20767559739319333;3.1248351121237556
SA;ft53;53;100;398.69710000000003;262000;8535;2.6405503258508327;6905;0.4716981132075472;56910;0.23606082548877624;2.9452841241944934
SA;ft53;53;100;375.10139999999996;264000;7914;2.8243301955104996;6905;0.37735849056603776;58703;0.14612599565532222;3.3367450088450847
SA;ft53;53;100;381.8113;267000;8950;2.829109341057205;6905;0.2830188679245283;62177;0.2961622013034033;2.9541899441340784
SA;ft53;53;100;411.7137;263000;8724;2.8267921795800146;6905;0.6037735849056604;57702;0.2634322954380883;3.02888583218707
SA;ft53;53;100;386.0455;256000;8664;2.6425778421433743;6905;0.4716981132075472;51126;0.2547429398986242;2.903047091412742
SA;ft53;53;100;398.5163;266000;8091;2.7632150615496016;6905;0.49056603773584906;60559;0.1717595944967415;3.2115931281670993
SA;ft53;53;100;379.88779999999997;260000;7820;2.791745112237509;6905;0.49056603773584906;55061;0.1325126719768284;3.348081841432225
SA;ft53;53;100;376.9237;259000;8875;2.7656770456191166;6905;0.41509433962264153;53945;0.28530050687907316;2.9298028169014083
SA;ft53;53;100;370.8519;262000;8386;2.7358435916002897;6905;0.5094339622641509;56867;0.21448225923244027;3.076079179585023
SA;ft53;53;100;385.12780000000004;263000;8461;2.8170890658942795;6905;0.24528301886792453;57453;0.22534395365677046;3.115116416499232
SA;ft53;53;100;380.9075;259000;8045;2.8267921795800146;6905;0.6037735849056604;53524;0.16509775524981898;3.284524549409571
SA;ft53;53;100;406.6095;264000;9312;2.836350470673425;6905;0.2641509433962264;59456;0.34858797972483707;2.8447164948453607
SA;ft53;53;100;393.8567;257000;8574;2.8304127443881244;6905;0.4528301886792453;52198;0.24170890658942795;3.084791229297877
SA;ft53;53;100;425.65520000000004;262000;9195;2.655756698044895;6905;0.32075471698113206;56229;0.331643736422882;2.745296356715606
SA;ft53;53;100;369.5852;254000;8959;2.8837074583635047;6905;0.24528301886792453;48880;0.297465604634323;2.99330282397589
SA;ft53;53;100;434.8701;264000;8979;2.9732078204199857;6905;0.3584905660377358;59469;0.300362056480811;3.055462746408286
SA;ft53;53;100;416.4953;266000;8814;3.108182476466329;6905;0.2830188679245283;61305;0.27646632874728455;3.218402541411391
SA;ft53;53;100;398.4186;259000;9124;2.8466328747284577;6905;0.41509433962264153;53846;0.32136133236784936;2.911113546690048
SA;ft53;53;100;432.1223;270000;9048;2.8499637943519187;6905;0.41509433962264153;64778;0.3103548153511948;2.938107869142352
SA;ft53;53;100;406.49580000000003;263000;8711;2.858653149891383;6905;0.2830188679245283;58303;0.2615496017378711;3.058661462518655
SA;ft53;53;100;407.9155;263000;8447;2.9875452570601015;6905;0.37735849056603776;57685;0.22331643736422882;3.259618799573813
SA;ft53;53;100;391.461;256000;8696;2.8041998551774077;6905;0.37735849056603776;51399;0.25937726285300505;3.020699172033119
SA;ft53;53;100;416.137;265000;9023;2.911947863866763;6905;0.32075471698113206;60012;0.30673425054308473;2.993682810595146
SA;ft53;53;100;444.68600000000004;259000;8388;2.5099203475742216;6905;0.4716981132075472;53935;0.21477190441708907;2.8893657606103957
SA;ft53;53;100;391.59090000000003;266000;9043;2.89341057204924;6905;0.22641509433962265;61181;0.3096307023895728;2.97290722105496
SA;ft53;53;100;406.443;266000;9922;3.0842867487328025;6905;0.39622641509433965;60748;0.4369297610427227;2.842370489820601
SA;ft53;53;100;430.286;258000;8036;2.6861694424330196;6905;0.4528301886792453;52918;0.16379435191889935;3.167371826779492
SA;ft53;53;100;420.7546;258000;8641;2.856335988414193;6905;0.4716981132075472;52538;0.2514120202751629;3.081587779192223
SA;ft53;53;100;409.101;256000;8361;2.6304127443881247;6905;0.4528301886792453;51165;0.2108616944243302;2.998205956225332
SA;ft53;53;100;418.389;260000;8531;2.6434467776973207;6905;0.39622641509433965;55675;0.23548153511947864;2.9490094947837298
SA;ft53;53;100;388.7892;254000;8523;2.6433019551049965;6905;0.3584905660377358;49064;0.2343229543808834;2.9516602135398333
SA;ft53;53;100;412.45540000000005;251000;8879;2.6837074583635045;6905;0.3584905660377358;46541;0.28587979724837076;2.8647370199346773
SA;ft53;53;100;432.81579999999997;266000;9535;2.906154960173787;6905;0.49056603773584906;60996;0.38088341781317886;2.8287362349239644
SA;ft53;53;100;434.4382;256000;8632;2.9635047067342506;6905;0.32075471698113206;51315;0.2501086169442433;3.1705282669138093
