Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random;ft53;53;100;16.5116;1419;25004;2.8841419261404777;6905;0.018867924528301886;705;2.6211440984793626;1.0726283794592866
random;ft53;53;100;16.0036;1623;27183;2.617523533671253;6905;0.018867924528301886;808;2.9367125271542363;0.9189199131810323
random;ft53;53;100;16.4043;2415;24415;2.9210716871832005;6905;0.05660377358490566;1193;2.5358435916002895;1.1089494163424125
random;ft53;53;100;16.0037;2351;27111;2.715858073859522;6905;0;1190;2.926285300506879;0.9464055180554019
random;ft53;53;100;16.0029;2579;27001;2.72729905865315;6905;0.018867924528301886;1288;2.910354815351195;0.9531869190029999
random;ft53;53;100;16.0006;2667;25408;2.7480086893555393;6905;0.018867924528301886;1319;2.6796524257784213;1.0185768261964736
random;ft53;53;100;16.002200000000002;1831;25411;2.8682114409847936;6905;0.03773584905660377;915;2.6800868935553948;1.0511195938766675
random;ft53;53;100;16.000400000000003;2594;26429;2.894569152787835;6905;0.018867924528301886;1288;2.8275162925416364;1.0175186348329486
random;ft53;53;100;16.017400000000002;2801;27870;2.77335264301231;6905;0;1387;3.0362056480811006;0.9348762109795479
random;ft53;53;100;16.2371;3456;27725;2.771904417089066;6905;0.018867924528301886;1748;3.0152063721940623;0.939404869251578
random;ft53;53;100;16.0039;3474;26944;2.8422881969587257;6905;0;1706;2.902099927588704;0.9846719121140143
random;ft53;53;100;16.3667;3091;25106;3.0207096307023895;6905;0.018867924528301886;1566;2.635916002896452;1.1058312753923365
random;ft53;53;100;16.0012;3521;26966;2.7426502534395367;6905;0.03773584905660377;1709;2.9052860246198406;0.9583549655121264
random;ft53;53;100;16.0015;3053;25645;2.598551774076756;6905;0.018867924528301886;1520;2.713975380159305;0.9689218171183467
random;ft53;53;100;16.4464;3260;24319;2.9196234612599565;6905;0.018867924528301886;1621;2.521940622737147;1.1129158271310498
random;ft53;53;100;16.0037;2949;28239;2.2883417813178855;6905;0;1481;3.089645184648805;0.8040652997627394
random;ft53;53;100;16.5518;2469;25512;2.643881245474294;6905;0.018867924528301886;1209;2.6947139753801594;0.986241768579492
random;ft53;53;100;16.0006;2768;27307;2.78421433743664;6905;0;1402;2.954670528602462;0.956897498809829
random;ft53;53;100;16.0013;3066;26503;2.5125271542360608;6905;0.018867924528301886;1533;2.8382331643736425;0.9151416820737275
random;ft53;53;100;16.464;2891;28003;2.67270094134685;6905;0;1449;3.055467052860246;0.9056172552940757
random;ft53;53;100;16.0027;2543;27695;2.731354091238233;6905;0;1287;3.0108616944243303;0.9303123307456219
random;ft53;53;100;16.0034;2461;26170;2.8246198406951484;6905;0.03773584905660377;1207;2.7900072411296164;1.0091325945739396
random;ft53;53;100;16.0027;2557;26569;2.9811730629978275;6905;0.03773584905660377;1269;2.847791455467053;1.0346644585795477
random;ft53;53;100;16.0041;2481;26390;2.3649529326574945;6905;0.03773584905660377;1246;2.821868211440985;0.8804471390678287
random;ft53;53;100;16.0029;3086;24664;3.1768283852280956;6905;0.018867924528301886;1553;2.571904417089066;1.1693561466104443
random;ft53;53;100;16.002499999999998;3048;25960;2.7307748008689354;6905;0.018867924528301886;1533;2.759594496741492;0.9923343605546996
random;ft53;53;100;16.0024;3056;26666;2.8955829109341056;6905;0.03773584905660377;1537;2.86183924692252;1.0087377184429611
random;ft53;53;100;16.002599999999997;3716;25835;2.8900796524257784;6905;0.018867924528301886;1839;2.7414916727009415;1.0397135668666537
random;ft53;53;100;16.0006;3120;25960;3.0614047791455468;6905;0.09433962264150944;1571;2.759594496741492;1.0802773497688751
random;ft53;53;100;16.0043;3190;27123;2.8861694424330198;6905;0.03773584905660377;1591;2.9280231716147718;0.9893448364856395
random;ft53;53;100;16.002200000000002;3406;26452;2.7135409123823315;6905;0;1708;2.830847212165098;0.9693784969000454
random;ft53;53;100;16.0007;3459;24956;3.0289645184648806;6905;0.03773584905660377;1748;2.6141926140477914;1.1147619810867126
random;ft53;53;100;16.0014;2672;27431;2.770166545981173;6905;0.018867924528301886;1332;2.972628530050688;0.9490357624585323
random;ft53;53;100;16.0019;3140;26388;3.0185372918175237;6905;0.05660377358490566;1539;2.821578566256336;1.0515385781415796
random;ft53;53;100;16.169;2690;24721;2.5653874004344677;6905;0.018867924528301886;1352;2.580159304851557;0.9958739533190405
random;ft53;53;100;16.0012;2648;25131;2.662853005068791;6905;0.018867924528301886;1315;2.639536567704562;1.0064064303052007
random;ft53;53;100;16.002;2949;26990;2.6337436640115857;6905;0;1456;2.9087617668356263;0.9296406076324565
random;ft53;53;100;16.037300000000002;3172;26914;2.7045619116582187;6905;0;1565;2.897755249818972;0.9504347179906368
random;ft53;53;100;16.0021;2894;24563;2.8501086169442433;6905;0.03773584905660377;1440;2.5572773352643012;1.0823189349835118
random;ft53;53;100;16.2169;2862;26254;2.606517016654598;6905;0.018867924528301886;1429;2.802172338884866;0.9485411746781442
random;ft53;53;100;16.0013;3108;27028;2.7830557566980447;6905;0;1552;2.9142650253439535;0.966479206748557
