Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
Tabu;ft70;70;30;1107.3614;510;45528;0.8654616916194762;38673;0.3;561;0.17725544953843766;1.5845853101388157
Tabu;ft70;70;30;1086.514;518;45675;0.7616166317585913;38673;0.22857142857142856;566;0.18105655108215032;1.491559934318555
Tabu;ft70;70;30;1008.4901;510;46039;0.8642463734388333;38673;0.2714285714285714;551;0.19046880252372456;1.5659766719520407
Tabu;ft70;70;30;1016.9941;523;45821;0.7932924779561968;38673;0.17142857142857143;577;0.1848317947922323;1.5135418258003972
Tabu;ft70;70;30;1052.9424999999999;516;45868;0.864091226437049;38673;0.24285714285714285;564;0.18604711297287513;1.5716839626755037
Tabu;ft70;70;30;1003.4506000000001;517;46444;0.8525327748041269;38673;0.21428571428571427;563;0.2009412251441574;1.5425673929894066
Tabu;ft70;70;30;1013.9400999999999;515;45270;0.8864065368603419;38673;0.18571428571428572;562;0.17058412846171747;1.6115087254252265
Tabu;ft70;70;30;994.0826000000001;513;44624;0.833837561089132;38673;0.2857142857142857;561;0.1538799679362863;1.5892793115812118
Tabu;ft70;70;30;1080.5483;513;45579;0.8452925813875314;38673;0.2714285714285714;562;0.17857419905360328;1.5656991158208824
Tabu;ft70;70;30;1105.5799;522;44232;0.8174436945672692;38673;0.2857142857142857;583;0.14374369715305252;1.5890305661059867
Tabu;ft70;70;30;1090.8798;514;45118;0.9248312776355597;38673;0.18571428571428572;558;0.16665373774985132;1.6498736646127932
Tabu;ft70;70;30;1061.9159;514;46283;0.8379748144700437;38673;0.3;563;0.19677811392961497;1.5357690728777305
Tabu;ft70;70;30;1096.5475;522;45030;0.9122385126574095;38673;0.32857142857142857;577;0.16437824839034987;1.6422829224961137
Tabu;ft70;70;30;1039.7752;514;44932;0.8465596152354355;38673;0.21428571428571427;557;0.1618441806945414;1.5893349951037123
Tabu;ft70;70;30;1038.3393;513;45907;0.9368293124402037;38673;0.3142857142857143;558;0.18705556848447238;1.6316248066743635
Tabu;ft70;70;30;1006.2408;517;45168;0.831691360897784;38673;0.3142857142857143;575;0.16794662943138625;1.5683005667729366
Tabu;ft70;70;30;9401.899099999999;5002;46025;0.8992578801747989;38673;0.22857142857142856;10004;0.19010679285289478;1.5958718087995654
Tabu;ft70;70;30;1095.0018;509;47394;0.9002921935200269;38673;0.17142857142857143;549;0.22550616709332091;1.550618221715829
Tabu;ft70;70;30;930.2376999999999;515;46765;0.8438445427042123;38673;0.24285714285714285;562;0.20924158973961163;1.5247941836843792
Tabu;ft70;70;30;959.3182;514;43726;0.9002663356863962;38673;0.21428571428571427;568;0.13065963333591912;1.6806705392672552
Tabu;ft70;70;30;974.4880999999999;519;43857;0.9309337263724046;38673;0.2857142857142857;570;0.1340470095415406;1.702692842647696
Tabu;ft70;70;30;919.2401;511;46496;0.8679181858143925;38673;0.12857142857142856;551;0.20228583249295373;1.553639022711631
Tabu;ft70;70;30;1018.2054;530;42811;0.958498177022729;38673;0.4;597;0.10699971556383006;1.7691948331036416
Tabu;ft70;70;30;936.1415;519;45589;0.8566700281850387;38673;0.24285714285714285;563;0.17883277738991027;1.5750071289126764
Tabu;ft70;70;30;958.8743;515;45467;0.8647118144441859;38673;0.21428571428571427;567;0.17567812168696506;1.5860734158840477
Tabu;ft70;70;30;981.2891000000001;522;44656;0.86597884829209;38673;0.2714285714285714;584;0.15470741861246864;1.6159754568255105
Tabu;ft70;70;30;872.1876;504;46067;0.8533085098130478;38673;0.24285714285714285;542;0.1911928218653841;1.5558425771159399
Tabu;ft70;70;30;904.1972999999999;507;46296;0.8549116954981512;38673;0.35714285714285715;550;0.19711426576681407;1.549485916709867
Tabu;ft70;70;30;943.5889;510;46560;0.8192278850877873;38673;0.2714285714285714;554;0.20394073384531844;1.511060996563574
Tabu;ft70;70;30;894.3239;515;45753;0.9835544178108758;38673;0.22857142857142856;559;0.1830734621053448;1.6766113697462461
