Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
greedy;ft70;70;100;30.4788;16768;46524;0.9289943888501021;38673;0.24285714285714285;153;0.2030098518346133;1.6034734760553693
greedy;ft70;70;100;80.4932;22063;46427;0.7280014480386833;38673;0.21428571428571427;131;0.20050164197243556;1.4393994873672646
greedy;ft70;70;100;23.9966;14577;45648;0.83006231737905;38673;0.2571428571428571;136;0.18035838957412148;1.5504293725902558
greedy;ft70;70;100;29.783;18713;44151;0.9070152302640084;38673;0.3;159;0.14164921262896593;1.6704038413625966
greedy;ft70;70;100;26.4685;15104;46230;0.8322343754040287;38673;0.24285714285714285;128;0.19540764874718797;1.5327276660177374
greedy;ft70;70;100;41.1727;23912;44927;0.8376386626328446;38673;0.2857142857142857;153;0.16171489152638793;1.581832750907027
greedy;ft70;70;100;30.476;17022;46281;0.8928709952680165;38673;0.21428571428571427;141;0.19672639826235358;1.5817073961236792
greedy;ft70;70;100;21.141900000000003;12136;46686;0.9117472138184263;38673;0.24285714285714285;145;0.20719882088278643;1.5836224992503105
greedy;ft70;70;100;31.276199999999996;18823;45687;0.9354847050914075;38673;0.24285714285714285;164;0.1813668450857187;1.6383435112832971
greedy;ft70;70;100;23.6137;16171;46214;0.8851653608460683;38673;0.24285714285714285;161;0.1949939234090968;1.577552256891851
greedy;ft70;70;100;18.0655;11915;44007;0.8562821606805782;38673;0.2714285714285714;147;0.13792568458614538;1.63128593178358
greedy;ft70;70;100;18.237199999999998;12565;46452;0.8241925891448815;38673;0.2571428571428571;133;0.201148087813203;1.5187074829931972
greedy;ft70;70;100;22.0909;16218;46116;0.8226669769606703;38673;0.2;151;0.19245985571328833;1.5284933645589383
greedy;ft70;70;100;19.953;14471;46200;0.8529723579758488;38673;0.2571428571428571;141;0.19463191373826702;1.551082251082251
greedy;ft70;70;100;19.244899999999998;16022;44492;0.8903627854058387;38673;0.3;162;0.1504667338970341;1.6431268542659354
greedy;ft70;70;100;23.9556;16458;45350;0.934579680914333;38673;0.3;140;0.17265275515217335;1.6497464167585447
greedy;ft70;70;100;24.3312;19387;45356;0.9169446383781966;38673;0.18571428571428572;158;0.17280790215395755;1.6344915777405415
greedy;ft70;70;100;27.4432;14724;45726;0.8530757893103715;38673;0.2;135;0.18237530059731596;1.5672483925993963
greedy;ft70;70;100;28.5639;16747;44686;0.8919918289245727;38673;0.2714285714285714;153;0.1554831536213896;1.6374032135344403
