Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random walk;ft70;70;100;24.558400000000002;12014;73506;0.8566958860186693;38673;0.04285714285714286;5974;0.900705918858118;0.9768454275841428
random walk;ft70;70;100;23.4861;13766;74884;0.833061826080211;38673;0;6889;0.9363380136012205;0.9466641739223333
random walk;ft70;70;100;23.0002;16956;74020;0.8674527448090399;38673;0;8468;0.913996845344297;0.97568224804107
random walk;ft70;70;100;23.052799999999998;15070;74139;0.8218653841181186;38673;0;7548;0.9170739275463502;0.9503365300314275
random walk;ft70;70;100;23.0002;16857;70297;0.9154190261939855;38673;0.014285714285714285;8401;0.8177281307372068;1.0537434029901702
random walk;ft70;70;100;23.0005;15173;69511;0.8708142631810307;38673;0.02857142857142857;7585;0.7974038735034779;1.0408424565896046
random walk;ft70;70;100;23.0002;12737;74867;0.8666511519664882;38673;0;6371;0.9358984304294986;0.9642299010244835
random walk;ft70;70;100;23.0006;11390;70433;0.8375869469655832;38673;0;5671;0.8212447961109818;1.008973066602303
random walk;ft70;70;100;23.445;10515;74602;0.894189744783182;38673;0.02857142857142857;5192;0.9290461045173636;0.9819307793356746
random walk;ft70;70;100;23.5625;14012;71383;0.8468181935717426;38673;0.014285714285714285;6934;0.8458097380601454;1.0005463485703878
random walk;ft70;70;100;23.0012;14341;73218;0.8474129237452486;38673;0;7161;0.8932588627724769;0.9757846431205441
random walk;ft70;70;100;23.0006;13453;72307;0.8677630388126083;38673;0.05714285714285714;6750;0.8697023763349107;0.9989627560263875
random walk;ft70;70;100;23.0655;12740;70208;0.8886303105525819;38673;0.014285714285714285;6351;0.8154267835440747;1.0403230401093893
random walk;ft70;70;100;23.0004;12768;68398;0.9309337263724046;38673;0.02857142857142857;6356;0.7686241046725105;1.0917716892306792
random walk;ft70;70;100;23.000300000000003;13117;74576;0.8163318077211491;38673;0;6511;0.9283738008429654;0.9418981978116284
random walk;ft70;70;100;23.0572;15960;75242;0.7876813280583352;38673;0.014285714285714285;8015;0.9455951180410105;0.9188352250073097
random walk;ft70;70;100;48.4961;6715;72008;0.8907506529102992;38673;0.04285714285714286;3346;0.8619708840793319;1.0154566159315632
random walk;ft70;70;100;25.6385;11787;69536;0.8822692834794301;38673;0.014285714285714285;5872;0.7980503193442453;1.0468390473999079
random walk;ft70;70;100;23.0001;15851;71647;0.852351769968712;38673;0.02857142857142857;7984;0.8526362061386497;0.9998464694962804
random walk;ft70;70;100;23.000300000000003;18146;72031;0.83006231737905;38673;0;9063;0.8625656142528378;0.9825491802140744
random walk;ft70;70;100;23.0004;15706;73283;0.7974038735034779;38673;0.014285714285714285;7872;0.8949396219584723;0.9485283080659908
random walk;ft70;70;100;23.482400000000002;18191;67821;0.7877330437255967;38673;0.04285714285714286;9083;0.7537041346675976;1.0194040194040195
random walk;ft70;70;100;23.524900000000002;16363;71118;0.8617640214102863;38673;0;8175;0.8389574121480102;1.0124019235636548
random walk;ft70;70;100;23.000300000000003;10850;69962;0.8808471026297416;38673;0.04285714285714286;5399;0.8090657564709228;1.039678682713473
