Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
SA;ftv33;34;100;353.11019999999996;236000;1435;2.4354587869362363;1286;0.47058823529411764;55124;0.11586314152410575;3.0787456445993033
SA;ftv33;34;100;314.71329999999995;238000;1564;2.288491446345257;1286;0.4411764705882353;56991;0.2161741835147745;2.7039641943734014
SA;ftv33;34;100;324.8916;229000;1399;2.244167962674961;1286;0.6764705882352942;48086;0.08786936236391912;2.9821300929235166
SA;ftv33;34;100;401.7062;243000;1414;2.3561430793157077;1286;0.5588235294117647;62224;0.09953343701399689;3.0523338048090523
SA;ftv33;34;100;332.1414;240000;1612;2.5793157076205286;1286;0.5;58950;0.2534992223950233;2.8554590570719602
SA;ftv33;34;100;331.7406;242000;1461;2.228615863141524;1286;0.5588235294117647;61642;0.13608087091757387;2.841889117043121
SA;ftv33;34;100;386.1775;243000;1585;2.4175738724727838;1286;0.47058823529411764;62190;0.23250388802488337;2.772870662460568
SA;ftv33;34;100;442.78610000000003;235000;1533;2.583203732503888;1286;0.5;54264;0.19206842923794712;3.0058708414872797
SA;ftv33;34;100;405.6338;227000;1331;2.5334370139968896;1286;0.7058823529411765;46444;0.034992223950233284;3.4139744552967692
SA;ftv33;34;100;405.3943;238000;1483;2.3421461897356144;1286;0.6470588235294118;57621;0.15318818040435458;2.8981793661496966
SA;ftv33;34;100;395.47130000000004;238000;1516;2.21850699844479;1286;0.2647058823529412;57231;0.17884914463452567;2.730211081794195
SA;ftv33;34;100;422.9426;238000;1412;2.5489891135303266;1286;0.7352941176470589;57999;0.09797822706065319;3.2322946175637393
SA;ftv33;34;100;409.3587;241000;1497;2.6135303265940903;1286;0.6764705882352942;60472;0.1640746500777605;3.1042084168336674
SA;ftv33;34;100;391.073;237000;1540;2.546656298600311;1286;0.3235294117647059;56874;0.19751166407465007;2.9616883116883117
SA;ftv33;34;100;387.67839999999995;236000;1541;2.4409020217729394;1286;0.5588235294117647;56018;0.19828926905132194;2.871512005191434
SA;ftv33;34;100;368.62440000000004;226000;1470;1.9766718506998444;1286;0.2647058823529412;45628;0.14307931570762053;2.6040816326530614
SA;ftv33;34;100;383.68809999999996;236000;1546;2.2208398133748055;1286;0.38235294117647056;56054;0.20217729393468117;2.679172056921087
SA;ftv33;34;100;381.5829;245000;1512;2.536547433903577;1286;0.35294117647058826;63135;0.17573872472783825;3.007936507936508
SA;ftv33;34;100;348.3291;234000;1634;2.2908242612752723;1286;0.4117647058823529;53909;0.27060653188180406;2.5899632802937576
SA;ftv33;34;100;360.6764;235000;1569;2.5349922239502334;1286;0.47058823529411764;54673;0.22006220839813376;2.897386870618228
SA;ftv33;34;100;372.9781;237000;1556;2.150077760497667;1286;0.3235294117647059;56670;0.2099533437013997;2.603470437017995
SA;ftv33;34;100;346.59590000000003;229000;1495;2.406687402799378;1286;0.4117647058823529;48566;0.1625194401244168;2.9304347826086956
SA;ftv33;34;100;435.9183;247000;1454;2.3709175738724726;1286;0.5588235294117647;65986;0.13063763608087092;2.9814305364511693
SA;ftv33;34;100;355.43960000000004;237000;1582;2.56298600311042;1286;0.4411764705882353;56179;0.2301710730948678;2.8963337547408345
SA;ftv33;34;100;356.3752;236000;1501;2.5163297045101087;1286;0.4411764705882353;54994;0.1671850699844479;3.0126582278481013
SA;ftv33;34;100;447.6025;244000;1541;2.423017107309487;1286;0.4411764705882353;62858;0.19828926905132194;2.856586632057106
SA;ftv33;34;100;394.6861;244000;1515;2.6664074650077763;1286;0.4411764705882353;62358;0.1780715396578538;3.112211221122112
SA;ftv33;34;100;375.4358;239000;1480;2.631415241057543;1286;0.5;58349;0.15085536547433903;3.1554054054054053
SA;ftv33;34;100;391.4607;237000;1367;2.5800933125972008;1286;0.7647058823529411;56163;0.06298600311041991;3.367959034381858
SA;ftv33;34;100;436.65959999999995;235000;1580;2.2418351477449456;1286;0.29411764705882354;54036;0.2286158631415241;2.6386075949367087
SA;ftv33;34;100;390.5058;235000;1530;2.4237947122861585;1286;0.4411764705882353;54191;0.18973561430793157;2.8777777777777778
SA;ftv33;34;100;440.32349999999997;238000;1481;2.0590979782270606;1286;0.4117647058823529;58261;0.15163297045101087;2.6563133018230927
SA;ftv33;34;100;362.53499999999997;237000;1529;2.291601866251944;1286;0.47058823529411764;56060;0.18895800933125972;2.7684761281883583
SA;ftv33;34;100;348.8104;231000;1477;2.4051321928460343;1286;0.47058823529411764;50552;0.14852255054432348;2.964793500338524
SA;ftv33;34;100;358.4751;240000;1572;2.457231726283048;1286;0.4117647058823529;59830;0.2223950233281493;2.8282442748091605
SA;ftv33;34;100;355.80060000000003;246000;1636;2.334370139968896;1286;0.5294117647058824;64529;0.27216174183514774;2.6210268948655258
SA;ftv33;34;100;445.7161;237000;1580;2.4657853810264387;1286;0.35294117647058826;56594;0.2286158631415241;2.820886075949367
SA;ftv33;34;100;458.4674;233000;1641;2.2783825816485224;1286;0.2647058823529412;52492;0.276049766718507;2.5691651432053626
SA;ftv33;34;100;481.5369;242000;1392;2.482892690513219;1286;0.5;60129;0.08242612752721618;3.2176724137931036
SA;ftv33;34;100;434.7461;236000;1525;2.1804043545878695;1286;0.5294117647058824;54868;0.18584758942457233;2.681967213114754
SA;ftv33;34;100;382.2926;232000;1622;1.947900466562986;1286;0.47058823529411764;52162;0.26127527216174184;2.3372379778051786
SA;ftv33;34;100;380.38009999999997;238000;1402;2.311819595645412;1286;0.6764705882352942;58055;0.09020217729393468;3.037803138373752
SA;ftv33;34;100;375.882;233000;1521;2.2099533437014;1286;0.4117647058823529;52464;0.1827371695178849;2.7140039447731756
SA;ftv33;34;100;390.326;242000;1559;2.863141524105754;1286;0.35294117647058826;60740;0.21228615863141523;3.1866581141757537
SA;ftv33;34;100;387.9278;241000;1453;2.744167962674961;1286;0.35294117647058826;60248;0.12986003110419908;3.3138334480385407
SA;ftv33;34;100;390.80920000000003;241000;1459;2.5404354587869364;1286;0.6176470588235294;60683;0.13452566096423016;3.120630568882796
SA;ftv33;34;100;382.7065;236000;1678;2.431570762052877;1286;0.23529411764705882;56482;0.3048211508553655;2.629916567342074
SA;ftv33;34;100;366.2494;230000;1515;2.354587869362364;1286;0.35294117647058826;50575;0.1780715396578538;2.8475247524752474
SA;ftv33;34;100;381.2256;232000;1483;2.1547433903576985;1286;0.3235294117647059;51685;0.15318818040435458;2.7356709372892785
SA;ftv33;34;100;409.3886;231000;1612;1.9284603421461897;1286;0.3235294117647059;50884;0.2534992223950233;2.336228287841191
SA;ftv33;34;100;353.13030000000003;236000;1420;2.5800933125972008;1286;0.35294117647058826;55135;0.104199066874028;3.2422535211267607
SA;ftv33;34;100;375.11990000000003;240000;1501;2.469673405909798;1286;0.6764705882352942;59257;0.1671850699844479;2.972684876748834
SA;ftv33;34;100;338.0143;232000;1483;2.3732503888024885;1286;0.5;52684;0.15318818040435458;2.925151719487525
SA;ftv33;34;100;326.0366;236000;1437;2.426127527216174;1286;0.6764705882352942;55080;0.11741835147744946;3.0661099512874044
SA;ftv33;34;100;338.5682;236000;1521;2.5948678071539657;1286;0.5294117647058824;55179;0.1827371695178849;3.0394477317554243
SA;ftv33;34;100;329.3446;239000;1497;2.5287713841368586;1286;0.35294117647058826;58430;0.1640746500777605;3.0313961255845023
SA;ftv33;34;100;331.38190000000003;239000;1477;2.3895800933125972;1286;0.5;58499;0.14852255054432348;2.951252538930264
SA;ftv33;34;100;322.19710000000003;234000;1438;2.531881804043546;1286;0.35294117647058826;53900;0.1181959564541213;3.1585535465924894
SA;ftv33;34;100;330.2326;241000;1429;2.358475894245723;1286;0.6470588235294118;60474;0.11119751166407466;3.0223932820153956
SA;ftv33;34;100;343.4393;238000;1531;2.1236391912908243;1286;0.5;57481;0.1905132192846034;2.6237753102547354
SA;ftv33;34;100;349.40349999999995;238000;1683;2.328926905132193;1286;0.5294117647058824;58429;0.30870917573872475;2.5436720142602494
SA;ftv33;34;100;355.0132;233000;1548;2.2877138413685847;1286;0.5294117647058824;51786;0.20373250388802489;2.731266149870801
SA;ftv33;34;100;363.55;239000;1470;2.160186625194401;1286;0.4411764705882353;58958;0.14307931570762053;2.764625850340136
SA;ftv33;34;100;444.8837;235000;1565;2.2270606531881803;1286;0.35294117647058826;54308;0.21695178849144633;2.6517571884984026
SA;ftv33;34;100;463.8191;236000;1576;2.3421461897356144;1286;0.5;56673;0.2255054432348367;2.7271573604060912
SA;ftv33;34;100;517.7748;236000;1490;2.3996889580093312;1286;0.5294117647058824;55294;0.15863141524105753;2.934228187919463
SA;ftv33;34;100;421.47790000000003;235000;1537;2.250388802488336;1286;0.5588235294117647;54975;0.19517884914463451;2.7195836044242028
SA;ftv33;34;100;410.1241;237000;1567;2.472783825816485;1286;0.29411764705882354;56309;0.21850699844479005;2.8500319081046586
SA;ftv33;34;100;392.8215;241000;1510;2.594090202177294;1286;0.5294117647058824;59755;0.17418351477449456;3.060927152317881
