Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
Tabu;ftv33;34;30;2536.0544;5002;2392;2.7426127527216173;1286;0.11764705882352941;10004;0.8600311041990669;2.012123745819398
Tabu;ftv33;34;30;2513.5754;5002;2271;2.50855365474339;1286;0.2647058823529412;10004;0.7659409020217729;1.986789960369881
Tabu;ftv33;34;30;2553.7276;5002;1987;2.1174183514774496;1286;0.29411764705882354;10004;0.5451010886469674;2.0176144942123804
Tabu;ftv33;34;30;2693.2598;5002;2291;2.511664074650078;1286;0.20588235294117646;10004;0.78149300155521;1.9711916193801833
Tabu;ftv33;34;30;2142.6441999999997;5002;2147;2.339035769828927;1286;0.3235294117647059;10004;0.6695178849144634;2
Tabu;ftv33;34;30;1980.3294;5002;2095;2.2433903576982894;1286;0.2647058823529412;10004;0.6290824261275272;1.9909307875894988
Tabu;ftv33;34;30;2005.8531999999998;5002;2264;2.551321928460342;1286;0.20588235294117646;10004;0.76049766718507;2.017226148409894
Tabu;ftv33;34;30;2000.0179;5002;2135;2.2978227060653187;1286;0.3235294117647059;10004;0.6601866251944012;1.986416861826698
Tabu;ftv33;34;30;2051.9063;5002;2035;2.13452566096423;1286;0.17647058823529413;10004;0.5824261275272161;1.980835380835381
Tabu;ftv33;34;30;2091.4266000000002;5002;2180;2.363141524105754;1286;0.2647058823529412;10004;0.6951788491446346;1.9839449541284404
Tabu;ftv33;34;30;2073.1635;5002;2094;2.2900466562986;1286;0.17647058823529413;10004;0.6283048211508554;2.0205348615090735
Tabu;ftv33;34;30;1949.4492;5002;2221;2.5031104199066876;1286;0.14705882352941177;10004;0.7270606531881804;2.028365601080594
Tabu;ftv33;34;30;2020.7885999999999;5002;2308;2.6275272161741836;1286;0.11764705882352941;10004;0.7947122861586314;2.0212305025996535
Tabu;ftv33;34;30;1851.2135;5002;2133;2.3219284603421464;1286;0.3235294117647059;10004;0.6586314152410575;2.0028129395218004
Tabu;ftv33;34;30;1760.4662;5002;2078;2.240279937791602;1286;0.2647058823529412;10004;0.6158631415241057;2.005293551491819
Tabu;ftv33;34;30;1753.9231;5002;2174;2.4020217729393467;1286;0.35294117647058826;10004;0.6905132192846034;2.012419503219871
Tabu;ftv33;34;30;1938.8721;5002;2217;2.4222395023328147;1286;0.23529411764705882;10004;0.723950233281493;1.9851150202976995
Tabu;ftv33;34;30;2071.8817;5002;2270;2.510886469673406;1286;0.23529411764705882;10004;0.7651632970451011;1.9889867841409692
Tabu;ftv33;34;30;1853.3046;5002;2137;2.3670295489891133;1286;0.11764705882352941;10004;0.661741835147745;2.026204960224614
Tabu;ftv33;34;30;1777.4916999999998;5002;2031;2.157076205287714;1286;0.23529411764705882;10004;0.5793157076205288;1.999015263417036
Tabu;ftv33;34;30;1823.8822;5002;2053;2.228615863141524;1286;0.2647058823529412;10004;0.5964230171073095;2.022406234778373
Tabu;ftv33;34;30;1821.5608000000002;5002;1993;2.095645412130638;1286;0.23529411764705882;10004;0.5497667185069984;1.9974912192674361
Tabu;ftv33;34;30;1753.1011;5002;2115;2.305598755832037;1286;0.23529411764705882;10004;0.6446345256609642;2.0099290780141845
Tabu;ftv33;34;30;1884.0014;5002;2432;2.791601866251944;1286;0.14705882352941177;10004;0.8911353032659409;2.004934210526316
Tabu;ftv33;34;30;1849.5613;5002;1911;1.9976671850699845;1286;0.23529411764705882;10004;0.4860031104199067;2.0172684458398744
Tabu;ftv33;34;30;1784.0871;5002;2352;2.614307931570762;1286;0.2647058823529412;10004;0.8289269051321928;1.9761904761904763
Tabu;ftv33;34;30;1689.0096999999998;5002;1916;1.9922239502332815;1286;0.23529411764705882;10004;0.48989113530326595;2.008350730688935
Tabu;ftv33;34;30;1668.7079;5002;2171;2.4082426127527214;1286;0.20588235294117646;10004;0.6881804043545878;2.018885306310456
Tabu;ftv33;34;30;1732.5899;5002;2014;2.1376360808709176;1286;0.11764705882352941;10004;0.5660964230171073;2.003475670307845
Tabu;ftv33;34;30;1603.8224;5002;2253;2.4548989113530326;1286;0.29411764705882354;10004;0.7519440124416796;1.9720372836218376
