Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
greedy;ftv33;34;100;15.92;2441;1728;2.390357698289269;1286;0.47058823529411764;58;0.343701399688958;2.5231481481481484
greedy;ftv33;34;100;10.115300000000001;3394;1751;2.6687402799377917;1286;0.23529411764705882;67;0.36158631415241055;2.6944603083952026
greedy;ftv33;34;100;5.9068000000000005;2957;1796;2.3919129082426127;1286;0.38235294117647056;60;0.3965785381026439;2.428730512249443
greedy;ftv33;34;100;7.5134;3865;1815;2.3234836702954897;1286;0.4117647058823529;72;0.41135303265940903;2.3548209366391184
greedy;ftv33;34;100;7.166600000000001;2791;1657;2.3794712286158632;1286;0.3235294117647059;67;0.2884914463452566;2.6228123114061557
greedy;ftv33;34;100;5.4139;3284;1923;2.812597200622084;1286;0.38235294117647056;74;0.4953343701399689;2.549661986479459
greedy;ftv33;34;100;4.974;2433;2009;2.605754276827372;1286;0.2647058823529412;61;0.562208398133748;2.308113489298158
greedy;ftv33;34;100;10.3033;3957;1606;2.672628304821151;1286;0.4411764705882353;77;0.24883359253499224;2.9408468244084682
greedy;ftv33;34;100;3.8295;2019;1929;2.1866251944012443;1286;0.29411764705882354;50;0.5;2.124416796267496
greedy;ftv33;34;100;7.9516;2727;1835;2.2426127527216173;1286;0.35294117647058826;44;0.42690513219284604;2.2724795640326976
greedy;ftv33;34;100;4.2053;2242;1888;1.755054432348367;1286;0.29411764705882354;35;0.4681181959564541;1.8765889830508475
greedy;ftv33;34;100;5.1753;3154;1735;2.1228615863141522;1286;0.4117647058823529;56;0.34914463452566097;2.314697406340058
greedy;ftv33;34;100;6.9877;2974;1718;2.855365474339036;1286;0.4411764705882353;61;0.3359253499222395;2.8859138533178115
greedy;ftv33;34;100;6.1982;2921;1855;2.051321928460342;1286;0.29411764705882354;66;0.44245723172628304;2.1153638814016174
greedy;ftv33;34;100;6.912;3040;2049;2.5863141524105755;1286;0.35294117647058826;55;0.5933125972006221;2.250854075158614
greedy;ftv33;34;100;11.1868;4157;1821;2.1632970451010887;1286;0.2647058823529412;53;0.41601866251944014;2.2339373970345964
greedy;ftv33;34;100;10.854199999999999;3411;1696;2.285381026438569;1286;0.29411764705882354;66;0.3188180404354588;2.4911556603773586
greedy;ftv33;34;100;2.9651;1944;1916;2.240279937791602;1286;0.2647058823529412;57;0.48989113530326595;2.1748434237995826
greedy;ftv33;34;100;5.6258;2595;2014;2.4502332814930017;1286;0.17647058823529413;52;0.5660964230171073;2.2030784508440915
greedy;ftv33;34;100;4.690899999999999;3549;1779;2.2527216174183513;1286;0.3235294117647059;60;0.3833592534992224;2.3513209668353006
greedy;ftv33;34;100;3.1199;2412;1867;2.411353032659409;1286;0.23529411764705882;58;0.45178849144634525;2.349758971612212
greedy;ftv33;34;100;5.1472;2553;1881;2.3888024883359256;1286;0.23529411764705882;53;0.46267496111975115;2.3168527379053696
greedy;ftv33;34;100;3.1273;2045;1862;2.1205287713841368;1286;0.35294117647058826;51;0.447900466562986;2.1552094522019334
greedy;ftv33;34;100;7.024500000000001;4497;1733;2.0847589424572317;1286;0.4411764705882353;70;0.3475894245723173;2.2890940565493363
greedy;ftv33;34;100;2.9348;3276;1699;2.7021772939346813;1286;0.5294117647058824;79;0.32115085536547433;2.8022366097704534
greedy;ftv33;34;100;4.1313;3694;2015;2.317262830482115;1286;0.3235294117647059;50;0.5668740279937792;2.11712158808933
greedy;ftv33;34;100;1.8999;2088;2030;2.661741835147745;1286;0.29411764705882354;53;0.578538102643857;2.3197044334975367
greedy;ftv33;34;100;7.0884;4188;1677;2.118973561430793;1286;0.3235294117647059;55;0.30404354587869364;2.3917710196779964
greedy;ftv33;34;100;2.9919000000000002;2073;1981;2.165629860031104;1286;0.3235294117647059;46;0.5404354587869362;2.055022715800101
greedy;ftv33;34;100;3.1097;3501;1842;2.338258164852255;1286;0.38235294117647056;65;0.432348367029549;2.3306188925081432
greedy;ftv33;34;100;2.7119;2135;1976;2.244167962674961;1286;0.38235294117647056;48;0.536547433903577;2.111336032388664
greedy;ftv33;34;100;5.5245;2966;1793;2.531104199066874;1286;0.3235294117647059;64;0.3942457231726283;2.532626882320134
greedy;ftv33;34;100;4.0997;1971;1922;2.0536547433903576;1286;0.2647058823529412;51;0.49455676516329705;2.04318418314256
greedy;ftv33;34;100;3.5084999999999997;2427;1898;2.4354587869362363;1286;0.35294117647058826;55;0.4758942457231726;2.3277133825079033
greedy;ftv33;34;100;3.2889;2436;1891;2.7177293934681184;1286;0.35294117647058826;53;0.4704510108864697;2.5282919090428346
greedy;ftv33;34;100;7.1009;2535;1574;2.6080870917573873;1286;0.5882352941176471;82;0.223950233281493;2.9479034307496823
greedy;ftv33;34;100;6.5925;4034;1648;2.2682737169517884;1286;0.4117647058823529;72;0.28149300155520995;2.550364077669903
greedy;ftv33;34;100;3.4450000000000003;2273;1874;2.8919129082426127;1286;0.38235294117647056;63;0.4572317262830482;2.6707577374599785
greedy;ftv33;34;100;1.7225000000000001;1401;1654;2.125194401244168;1286;0.35294117647058826;54;0.28615863141524106;2.4298669891172913
greedy;ftv33;34;100;2.4459999999999997;1557;1820;2.614307931570762;1286;0.3235294117647059;46;0.4152410575427683;2.5538461538461537
greedy;ftv33;34;100;6.838;3174;1861;2.332814930015552;1286;0.4117647058823529;43;0.44712286158631415;2.30306286942504
greedy;ftv33;34;100;6.6225;3904;1602;2.432348367029549;1286;0.5;73;0.24572317262830481;2.755305867665418
greedy;ftv33;34;100;2.0585;1748;1680;2.2589424572317265;1286;0.4117647058823529;54;0.30637636080870917;2.494642857142857
greedy;ftv33;34;100;5.8746;2715;2010;2.714618973561431;1286;0.3235294117647059;69;0.5629860031104199;2.376616915422886
greedy;ftv33;34;100;4.0147;2446;1757;2.2161741835147746;1286;0.20588235294117646;60;0.36625194401244165;2.354012521343199
greedy;ftv33;34;100;2.1531;1834;1770;2.6104199066874028;1286;0.23529411764705882;59;0.37636080870917576;2.6231638418079095
greedy;ftv33;34;100;8.0284;3616;1820;2.2721617418351476;1286;0.17647058823529413;58;0.4152410575427683;2.312087912087912
greedy;ftv33;34;100;2.8537;1660;1993;2.5699844479004668;1286;0.35294117647058826;41;0.5497667185069984;2.3035624686402407
greedy;ftv33;34;100;3.6605000000000003;2061;1935;2.6905132192846035;1286;0.4117647058823529;49;0.504665629860031;2.4527131782945735
greedy;ftv33;34;100;3.2177;1901;2068;2.5396578538102643;1286;0.2647058823529412;53;0.6080870917573873;2.2011605415860735
greedy;ftv33;34;100;4.6613999999999995;2534;1640;2.4090202177293936;1286;0.23529411764705882;57;0.27527216174183516;2.6731707317073172
greedy;ftv33;34;100;3.3485;2228;1934;2.0536547433903576;1286;0.29411764705882354;39;0.5038880248833593;2.030506721820062
greedy;ftv33;34;100;3.4181;1962;1807;2.4774494556765165;1286;0.3235294117647059;62;0.4051321928460342;2.4748201438848922
greedy;ftv33;34;100;4.9825;2020;1932;2.2099533437014;1286;0.47058823529411764;51;0.5023328149300156;2.1366459627329193
greedy;ftv33;34;100;7.0337000000000005;3639;1831;2.3623639191290824;1286;0.29411764705882354;58;0.4237947122861586;2.361551064991808
greedy;ftv33;34;100;3.0814000000000004;2055;1957;1.9852255054432348;1286;0.29411764705882354;45;0.5217729393468118;1.9616760347470619
greedy;ftv33;34;100;5.9594000000000005;2994;1688;2.3576982892690515;1286;0.4117647058823529;58;0.31259720062208396;2.558056872037915
greedy;ftv33;34;100;4.5734;3122;1836;2.2892690513219285;1286;0.14705882352941177;52;0.4276827371695179;2.303921568627451
greedy;ftv33;34;100;7.513;3444;1741;2.21850699844479;1286;0.38235294117647056;68;0.3538102643856921;2.3773693279724295
greedy;ftv33;34;100;6.555499999999999;4653;1574;2.36547433903577;1286;0.35294117647058826;59;0.223950233281493;2.7496823379923763
greedy;ftv33;34;100;4.3443;1877;1988;2.5225505443234835;1286;0.3235294117647059;58;0.5458786936236392;2.278672032193159
greedy;ftv33;34;100;4.1498;2424;1722;2.418351477449456;1286;0.29411764705882354;52;0.3390357698289269;2.5528455284552845
greedy;ftv33;34;100;4.9178;2676;1933;2.1049766718506997;1286;0.38235294117647056;47;0.5031104199066874;2.065700982928091
greedy;ftv33;34;100;3.8358;3171;1845;2.5093312597200623;1286;0.3235294117647059;77;0.43468118195956457;2.446070460704607
greedy;ftv33;34;100;5.6596;2923;1701;2.828149300155521;1286;0.4117647058823529;59;0.322706065318818;2.894179894179894
greedy;ftv33;34;100;4.3509;2794;1908;2.1065318818040435;1286;0.29411764705882354;40;0.48367029548989116;2.0938155136268346
greedy;ftv33;34;100;4.1066;2276;1820;2.5404354587869364;1286;0.5;61;0.4152410575427683;2.5016483516483516
greedy;ftv33;34;100;3.3891;2471;1697;2.4199066874027992;1286;0.5588235294117647;57;0.31959564541213065;2.591632292280495
greedy;ftv33;34;100;5.7817;2672;1797;1.9805598755832037;1286;0.35294117647058826;48;0.3973561430793157;2.132999443516973
greedy;ftv33;34;100;3.5202;2503;1764;2.4805598755832037;1286;0.20588235294117646;60;0.37169517884914466;2.5374149659863945
greedy;ftv33;34;100;3.7245;3242;1635;2.339035769828927;1286;0.3235294117647059;73;0.2713841368584759;2.6262996941896026
greedy;ftv33;34;100;4.3969;2100;1702;2.7892690513219285;1286;0.2647058823529412;73;0.3234836702954899;2.8631022326674502
greedy;ftv33;34;100;2.9383;2114;2294;2.182737169517885;1286;0.20588235294117646;40;0.7838258164852255;1.7842197035745422
greedy;ftv33;34;100;6.7339;4427;1751;2.488335925349922;1286;0.47058823529411764;70;0.36158631415241055;2.5619645916619076
greedy;ftv33;34;100;3.9836000000000005;2457;2091;2.432348367029549;1286;0.17647058823529413;55;0.6259720062208398;2.1109516977522715
greedy;ftv33;34;100;1.7473;2047;2012;2.7060653188180406;1286;0.3235294117647059;45;0.5645412130637636;2.368787276341948
greedy;ftv33;34;100;4.9413;3441;1673;2.3195956454121305;1286;0.5294117647058824;67;0.3009331259720062;2.5517035265989243
greedy;ftv33;34;100;3.8314999999999997;2782;1737;2.759720062208398;1286;0.47058823529411764;69;0.35069984447900465;2.7835348301669547
greedy;ftv33;34;100;2.7649;2410;1823;2.5132192846034216;1286;0.35294117647058826;61;0.4175738724727838;2.478332419089413
greedy;ftv33;34;100;7.1267;4565;1753;2.291601866251944;1286;0.38235294117647056;62;0.3631415241057543;2.414717626925271
