Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random walk;ftv33;34;100;5.4837;2712;4210;2.208398133748056;1286;0.11764705882352941;1318;2.2737169517884914;0.9800475059382423
random walk;ftv33;34;100;5.0065;2815;4368;2.605754276827372;1286;0.058823529411764705;1367;2.3965785381026437;1.061584249084249
random walk;ftv33;34;100;5.001;2866;4334;2.6267496111975115;1286;0.029411764705882353;1376;2.370139968895801;1.0761421319796953
random walk;ftv33;34;100;6.3513;2280;4622;2.3219284603421464;1286;0;1103;2.594090202177294;0.9242752055387278
random walk;ftv33;34;100;5.0007;1902;4520;2.6135303265940903;1286;0.029411764705882353;893;2.5147744945567654;1.0280973451327433
random walk;ftv33;34;100;5.3301;2828;4045;1.9704510108864697;1286;0.029411764705882353;1357;2.145412130637636;0.9443757725587144
random walk;ftv33;34;100;5.0057;2903;4013;2.6765163297045103;1286;0;1418;2.1205287713841368;1.1781709444306006
random walk;ftv33;34;100;5.0001999999999995;2302;3841;2.181959564541213;1286;0.058823529411764705;1108;1.9867807153965786;1.065347565738089
random walk;ftv33;34;100;5.6056;2114;4069;2.4191290824261276;1286;0.029411764705882353;1039;2.1640746500777603;1.080609486360285
random walk;ftv33;34;100;5.0009;2664;4091;2.2371695178849142;1286;0.058823529411764705;1278;2.181181959564541;1.01759960889758
random walk;ftv33;34;100;5.149500000000001;1025;4548;2.307153965785381;1286;0;492;2.536547433903577;0.9351363236587511
random walk;ftv33;34;100;5.8405000000000005;2362;4707;2.4751166407465006;1286;0;1127;2.660186625194401;0.9494370087104312
random walk;ftv33;34;100;5.004;1853;4466;2.5746500777604977;1286;0;869;2.472783825816485;1.029332736229288
random walk;ftv33;34;100;5.0004;1844;4533;2.4735614307931573;1286;0;883;2.5248833592534994;0.985440105890139
random walk;ftv33;34;100;5.2421999999999995;2728;4761;2.5077760497667185;1286;0.029411764705882353;1299;2.7021772939346813;0.9474900231043898
random walk;ftv33;34;100;5.001;3205;4581;2.517107309486781;1286;0;1561;2.5622083981337482;0.9873390089500109
random walk;ftv33;34;100;5.0008;3134;4521;2.234059097978227;1286;0.029411764705882353;1517;2.515552099533437;0.9199292191992922
random walk;ftv33;34;100;5.1545000000000005;3975;4412;2.317262830482115;1286;0;1943;2.4307931570762054;0.9669084315503174
random walk;ftv33;34;100;5.0008;4173;4616;2.6337480559875583;1286;0.029411764705882353;2015;2.5894245723172626;1.0123483535528597
random walk;ftv33;34;100;5.001099999999999;2968;4273;2.2807153965785383;1286;0.029411764705882353;1440;2.322706065318818;0.9873625087760356
random walk;ftv33;34;100;5.2207;3846;4732;2.2807153965785383;1286;0;1872;2.6796267496111974;0.8915891800507185
random walk;ftv33;34;100;5.0004;3828;4425;2.244945567651633;1286;0.029411764705882353;1841;2.4409020217729394;0.9430508474576271
random walk;ftv33;34;100;5.0006;3957;4381;2.4805598755832037;1286;0;1953;2.406687402799378;1.0216845469070988
random walk;ftv33;34;100;5.0005;3279;4478;2.805598755832037;1286;0;1605;2.4821150855365475;1.0928986154533273
random walk;ftv33;34;100;5.6419;3535;4523;2.3351477449455675;1286;0;1685;2.517107309486781;0.9482644262657528
random walk;ftv33;34;100;5.0001999999999995;3957;4057;2.363919129082426;1286;0.058823529411764705;1900;2.1547433903576985;1.0663051515898447
random walk;ftv33;34;100;5.0007;2903;4343;2.4774494556765165;1286;0.058823529411764705;1438;2.3771384136858478;1.0297029702970297
random walk;ftv33;34;100;5.3012;3045;4119;2.270606531881804;1286;0.058823529411764705;1496;2.202954898911353;1.0211216314639475
random walk;ftv33;34;100;5.001399999999999;3939;4839;2.6920684292379473;1286;0.029411764705882353;1913;2.7628304821150858;0.9811944616656334
random walk;ftv33;34;100;5.209499999999999;2648;4041;2.3219284603421464;1286;0.08823529411764706;1273;2.1423017107309485;1.0571640682999257
random walk;ftv33;34;100;5.0003;3395;4172;2.401244167962675;1286;0;1654;2.244167962674961;1.048418024928092
random walk;ftv33;34;100;5.2085;4443;4202;2.3662519440124417;1286;0.029411764705882353;2154;2.2674961119751167;1.0302237029985721
random walk;ftv33;34;100;5.0001999999999995;3083;4278;2.4199066874027992;1286;0.029411764705882353;1471;2.3265940902021773;1.0280504908835906
random walk;ftv33;34;100;5.000100000000001;4000;4302;2.171850699844479;1286;0.058823529411764705;1981;2.3452566096423015;0.9481636448163645
random walk;ftv33;34;100;5.000100000000001;4295;4278;2.5536547433903576;1286;0;2043;2.3265940902021773;1.0682561944834035
random walk;ftv33;34;100;5.281;4194;4400;2.6166407465007775;1286;0.058823529411764705;2024;2.421461897356143;1.0570454545454546
random walk;ftv33;34;100;5.0008;3395;4469;2.416796267496112;1286;0;1656;2.4751166407465006;0.9832177220854778
random walk;ftv33;34;100;5.1981;3642;4468;2.5279937791601865;1286;0.029411764705882353;1729;2.474339035769829;1.01544315129812
random walk;ftv33;34;100;5.1935;3169;3970;2.339813374805599;1286;0.058823529411764705;1538;2.087091757387247;1.0818639798488665
random walk;ftv33;34;100;5.0001999999999995;3774;4871;2.4821150855365475;1286;0.029411764705882353;1862;2.7877138413685847;0.9193184151098337
random walk;ftv33;34;100;5.0004;4138;4621;2.136080870917574;1286;0.029411764705882353;1995;2.593312597200622;0.8727548149751136
random walk;ftv33;34;100;5.1000000000000005;3359;4465;2.3965785381026437;1286;0;1622;2.4720062208398135;0.9782754759238522
random walk;ftv33;34;100;5.0001999999999995;2869;4915;2.3888024883359256;1286;0;1429;2.8219284603421464;0.8866734486266531
random walk;ftv33;34;100;5.000100000000001;3470;4448;2.255054432348367;1286;0.029411764705882353;1655;2.458786936236392;0.9410971223021583
random walk;ftv33;34;100;5.0007;3273;4243;2.551321928460342;1286;0.029411764705882353;1551;2.2993779160186625;1.0763610652839972
random walk;ftv33;34;100;5.3622000000000005;3750;4276;2.5590979782270606;1286;0.058823529411764705;1805;2.3250388802488335;1.0703928905519178
random walk;ftv33;34;100;5.001;4274;3780;2.317262830482115;1286;0.11764705882352941;2069;1.9393468118195956;1.1285714285714286
random walk;ftv33;34;100;5.000100000000001;2848;4024;2.021772939346812;1286;0.029411764705882353;1387;2.1290824261275274;0.9657057654075547
random walk;ftv33;34;100;5.0003;3406;4206;2.438569206842924;1286;0;1658;2.270606531881804;1.0513552068473608
random walk;ftv33;34;100;5.0003;3460;4245;2.160186625194401;1286;0.029411764705882353;1671;2.3009331259720063;0.9573616018845701
random walk;ftv33;34;100;5.001099999999999;3311;4441;2.2317262830482116;1286;0;1561;2.453343701399689;0.9358252645800496
random walk;ftv33;34;100;5.0001999999999995;3668;4251;1.8561430793157077;1286;0.029411764705882353;1781;2.305598755832037;0.8640319924723594
random walk;ftv33;34;100;5.2984;3470;4416;2.2363919129082426;1286;0.029411764705882353;1664;2.4339035769828925;0.9424818840579711
random walk;ftv33;34;100;5.0007;3849;4125;2.7060653188180406;1286;0.029411764705882353;1867;2.207620528771384;1.1553939393939394
random walk;ftv33;34;100;5.0150999999999994;2866;4221;2.5342146189735613;1286;0.08823529411764706;1364;2.2822706065318816;1.0767590618336886
random walk;ftv33;34;100;5.0003;2369;4135;2.6959564541213066;1286;0.08823529411764706;1158;2.2153965785381025;1.1494558645707376
random walk;ftv33;34;100;5.0006;2975;4034;1.9486780715396579;1286;0;1459;2.136858475894246;0.9400099157164105
random walk;ftv33;34;100;5.0004;3822;4222;2.087091757387247;1286;0.058823529411764705;1865;2.2830482115085537;0.9403126480341071
random walk;ftv33;34;100;5.0896;2579;4001;2.615863141524106;1286;0.058823529411764705;1268;2.1111975116640744;1.1622094476380904
random walk;ftv33;34;100;5.0009;2257;4515;2.3195956454121305;1286;0.029411764705882353;1066;2.510886469673406;0.945514950166113
random walk;ftv33;34;100;5.0004;2570;4136;2.234059097978227;1286;0.029411764705882353;1257;2.2161741835147746;1.005560928433269
random walk;ftv33;34;100;5.2676;2746;4114;2.2791601866251945;1286;0.058823529411764705;1358;2.1990668740279937;1.025036460865338
random walk;ftv33;34;100;5.0009;2261;4760;2.234059097978227;1286;0.058823529411764705;1121;2.701399688958009;0.8737394957983193
random walk;ftv33;34;100;5.0003;3090;4169;2.2667185069984446;1286;0;1471;2.2418351477449456;1.0076757016071
random walk;ftv33;34;100;5.1928;3104;4567;2.3040435458786934;1286;0;1510;2.551321928460342;0.9303700459820451
random walk;ftv33;34;100;6.132099999999999;2592;4445;2.6547433903576985;1286;0.029411764705882353;1256;2.4564541213063764;1.0573678290213724
random walk;ftv33;34;100;5.0009;3294;4400;2.2418351477449456;1286;0;1593;2.421461897356143;0.9475
random walk;ftv33;34;100;5.0012;3598;4053;2.093312597200622;1286;0.058823529411764705;1764;2.151632970451011;0.9814951887490747
random walk;ftv33;34;100;5.0003;2786;4512;2.1632970451010887;1286;0.058823529411764705;1349;2.50855365474339;0.901595744680851
random walk;ftv33;34;100;5.0006;3694;4297;2.1936236391912907;1286;0.058823529411764705;1810;2.3413685847589423;0.9557831044915057
random walk;ftv33;34;100;5.0007;3054;4114;2.4712286158631414;1286;0.029411764705882353;1464;2.1990668740279937;1.0850753524550316
random walk;ftv33;34;100;5.0213;3144;4033;1.9937791601866253;1286;0.058823529411764705;1529;2.136080870917574;0.954624349119762
random walk;ftv33;34;100;5.0092;2711;4379;2.2807153965785383;1286;0;1284;2.4051321928460343;0.9634619776204613
random walk;ftv33;34;100;5.001;3303;4139;2.6104199066874028;1286;0.029411764705882353;1581;2.21850699844479;1.121768543126359
random walk;ftv33;34;100;5.059100000000001;2424;4253;2.1850699844479005;1286;0;1192;2.307153965785381;0.9630848812602869
random walk;ftv33;34;100;5.0005;2992;4351;2.9447900466562986;1286;0;1435;2.3833592534992225;1.165938864628821
random walk;ftv33;34;100;5.001099999999999;3219;3755;2.2068429237947123;1286;0.029411764705882353;1546;1.9199066874027995;1.0982689747003995
random walk;ftv33;34;100;5.0007;3162;4449;2.6485225505443233;1286;0;1557;2.4595645412130636;1.054619015509103
random walk;ftv33;34;100;5.0004;2929;4667;2.6283048211508553;1286;0;1423;2.6290824261275274;0.9997857295907435
random walk;ftv33;34;100;5.0006;3271;4005;2.5762052877138415;1286;0.058823529411764705;1598;2.114307931570762;1.148314606741573
random walk;ftv33;34;100;5.1314;3483;4550;2.368584758942457;1286;0.058823529411764705;1693;2.5381026438569205;0.9520879120879121
random walk;ftv33;34;100;5.0009;2445;4128;2.751166407465008;1286;0.029411764705882353;1200;2.2099533437014;1.1686046511627908
random walk;ftv33;34;100;5.0004;3239;4393;2.457231726283048;1286;0.029411764705882353;1543;2.41601866251944;1.0120646483041202
random walk;ftv33;34;100;5.1591;2630;4278;2.9121306376360807;1286;0;1286;2.3265940902021773;1.1760168302945302
random walk;ftv33;34;100;5.0009;3643;4378;2.5038880248833593;1286;0.029411764705882353;1773;2.404354587869362;1.0292370945637277
random walk;ftv33;34;100;5.2238;1929;4504;2.4222395023328147;1286;0.058823529411764705;940;2.5023328149300155;0.9771314387211367
random walk;ftv33;34;100;5.0003;2220;4280;2.337480559875583;1286;0;1075;2.328149300155521;1.002803738317757
random walk;ftv33;34;100;5.0008;2547;4197;2.5544323483670297;1286;0.029411764705882353;1254;2.2636080870917574;1.0891112699547296
random walk;ftv33;34;100;5.001099999999999;2697;4411;2.5497667185069983;1286;0.029411764705882353;1314;2.4300155520995332;1.0349127182044888
random walk;ftv33;34;100;5.0012;2162;4382;2.6049766718506997;1286;0.029411764705882353;1065;2.4074650077760498;1.057964399817435
random walk;ftv33;34;100;5.185099999999999;2736;4048;2.2153965785381025;1286;0.029411764705882353;1310;2.1477449455676516;1.0214920948616601
random walk;ftv33;34;100;5.0006;3153;4430;2.3950233281493003;1286;0;1535;2.4447900466562986;0.9855530474040632
random walk;ftv33;34;100;5.0012;2514;4673;2.6018662519440126;1286;0.029411764705882353;1235;2.6337480559875583;0.9912261930237535
random walk;ftv33;34;100;5.105;2317;4285;2.482892690513219;1286;0;1129;2.3320373250388804;1.0452742123687282
random walk;ftv33;34;100;5.0007;3289;4346;2.3849144634525663;1286;0.029411764705882353;1604;2.3794712286158632;1.0016106764841233
random walk;ftv33;34;100;5.039499999999999;406;4278;1.6314152410575429;1286;0;187;2.3265940902021773;0.791023842917251
random walk;ftv33;34;100;5.2097999999999995;2489;4773;2.62597200622084;1286;0;1185;2.711508553654743;0.9769536978839305
random walk;ftv33;34;100;5.0001999999999995;3136;4299;2.2208398133748055;1286;0.029411764705882353;1539;2.342923794712286;0.9634798790416376
random walk;ftv33;34;100;5.8367;1754;4354;2.2682737169517884;1286;0.08823529411764706;862;2.385692068429238;0.965319246669729
random walk;ftv33;34;100;5.0004;2425;4121;2.4494556765163296;1286;0.029411764705882353;1139;2.204510108864697;1.0764377578257704
