Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random;ftv33;34;100;5.0025;652;4080;2.1049766718506997;1286;0.058823529411764705;335;2.172628304821151;0.9786764705882353
random;ftv33;34;100;5.0042;681;4153;2.4354587869362363;1286;0.058823529411764705;337;2.229393468118196;1.0638092944859139
random;ftv33;34;100;5.241;843;4352;2.5707620528771384;1286;0.058823529411764705;429;2.384136858475894;1.0551470588235294
random;ftv33;34;100;5.0003;735;4780;2.4805598755832037;1286;0;369;2.7169517884914463;0.9364016736401674
random;ftv33;34;100;5.0003;687;4394;2.2846034214618975;1286;0.058823529411764705;349;2.416796267496112;0.9613108784706418
random;ftv33;34;100;5.0015;761;4013;2.576982892690513;1286;0;388;2.1205287713841368;1.1462746075255419
random;ftv33;34;100;5.9061;788;4868;2.162519440124417;1286;0.058823529411764705;400;2.785381026438569;0.835456039441249
random;ftv33;34;100;5.4126;934;5033;2.269828926905132;1286;0;460;2.9136858475894245;0.8354857937611763
random;ftv33;34;100;5.0016;709;4849;2.1438569206842923;1286;0.058823529411764705;360;2.770606531881804;0.8337801608579088
random;ftv33;34;100;5.7496;718;4857;2.2737169517884914;1286;0;355;2.776827371695179;0.8667901997117562
random;ftv33;34;100;5.0022;293;4028;2.5077760497667185;1286;0.058823529411764705;143;2.1321928460342146;1.1199106256206555
random;ftv33;34;100;5.0012;760;4401;2.144634525660964;1286;0.029411764705882353;365;2.4222395023328147;0.9188820722563054
random;ftv33;34;100;5.0027;826;4223;2.0964230171073095;1286;0.08823529411764706;411;2.2838258164852254;0.9429315652379825
random;ftv33;34;100;5.562799999999999;560;4747;2.411353032659409;1286;0;276;2.691290824261275;0.9241626290288604
random;ftv33;34;100;5.0034;636;4547;2.7566096423017106;1286;0.029411764705882353;322;2.535769828926905;1.0624587640202332
random;ftv33;34;100;5.4608;882;4304;2.874805598755832;1286;0.058823529411764705;453;2.3468118195956453;1.157760223048327
