Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
steepest;ftv33;34;30;12.2823;9537;1847;2.08398133748056;1286;0.3235294117647059;74;0.43623639191290825;2.147265836491608
steepest;ftv33;34;30;22.4678;15708;1759;2.684292379471229;1286;0.38235294117647056;119;0.3678071539657854;2.693575895395111
steepest;ftv33;34;30;22.439799999999998;15708;1804;2.194401244167963;1286;0.2647058823529412;88;0.40279937791601866;2.2771618625277164
steepest;ftv33;34;30;14.8466;11781;1852;2.7037325038880247;1286;0.35294117647058826;83;0.4401244167962675;2.571814254859611
steepest;ftv33;34;30;14.5644;13464;1569;2.6174183514774496;1286;0.4117647058823529;104;0.22006220839813376;2.9649458253664753
steepest;ftv33;34;30;13.9939;12342;1815;2.4766718506998444;1286;0.47058823529411764;101;0.41135303265940903;2.4633608815427
steepest;ftv33;34;30;12.7804;12342;1739;2.542768273716952;1286;0.2647058823529412;93;0.3522550544323484;2.6198964922369177
steepest;ftv33;34;30;14.4408;11220;1861;2.234059097978227;1286;0.3235294117647059;90;0.44712286158631415;2.2348199892530896
steepest;ftv33;34;30;15.4119;12342;1829;2.3895800933125972;1286;0.2647058823529412;89;0.42223950233281493;2.3832695462001094
steepest;ftv33;34;30;16.7321;12903;1677;2.5808709175738724;1286;0.29411764705882354;111;0.30404354587869364;2.7459749552772807
steepest;ftv33;34;30;19.9961;16830;1629;2.318040435458787;1286;0.4411764705882353;141;0.2667185069984448;2.6193984039287908
steepest;ftv33;34;30;13.4196;10659;2164;2.5482115085536545;1286;0.17647058823529413;71;0.6827371695178849;2.108595194085028
steepest;ftv33;34;30;19.427799999999998;14586;1631;2.2021772939346813;1286;0.47058823529411764;107;0.2682737169517885;2.5248313917841814
steepest;ftv33;34;30;15.0589;12903;1788;2.5505443234836704;1286;0.3235294117647059;89;0.39035769828926903;2.553691275167785
steepest;ftv33;34;30;13.6845;12342;1989;2.136080870917574;1286;0.3235294117647059;88;0.5466562986003111;2.027652086475616
steepest;ftv33;34;30;16.4104;12903;1885;2.8032659409020217;1286;0.4117647058823529;114;0.46578538102643857;2.594694960212202
steepest;ftv33;34;30;16.965799999999998;12342;1895;2.615863141524106;1286;0.3235294117647059;97;0.4735614307931571;2.453825857519789
steepest;ftv33;34;30;14.6947;10659;1783;2.2830482115085537;1286;0.3235294117647059;95;0.3864696734059098;2.367919237240606
steepest;ftv33;34;30;17.3426;12903;1728;2.2947122861586315;1286;0.5;96;0.343701399688958;2.4519675925925926
steepest;ftv33;34;30;15.774;12342;1773;2.4455676516329703;1286;0.38235294117647056;80;0.3786936236391913;2.499153976311337
steepest;ftv33;34;30;17.6364;12903;1732;2.4463452566096424;1286;0.4411764705882353;125;0.3468118195956454;2.558891454965358
steepest;ftv33;34;30;14.1123;11781;1881;2.248833592534992;1286;0.3235294117647059;104;0.46267496111975115;2.2211589580010633
steepest;ftv33;34;30;14.784699999999999;13464;1820;2.5435458786936236;1286;0.29411764705882354;105;0.4152410575427683;2.503846153846154
steepest;ftv33;34;30;8.6621;8976;1945;2.2208398133748055;1286;0.23529411764705882;61;0.5124416796267496;2.1295629820051416
steepest;ftv33;34;30;13.6594;12342;1825;2.4657853810264387;1286;0.3235294117647059;98;0.4191290824261275;2.442191780821918
steepest;ftv33;34;30;15.2356;12903;1881;2.4494556765163296;1286;0.35294117647058826;92;0.46267496111975115;2.358320042530569
steepest;ftv33;34;30;11.458400000000001;9537;1822;2.4704510108864697;1286;0.38235294117647056;62;0.416796267496112;2.4495060373216244
steepest;ftv33;34;30;13.7195;12342;1729;2.097200622083981;1286;0.47058823529411764;94;0.34447900466562986;2.3036437246963564
steepest;ftv33;34;30;9.6703;9537;2021;2.150855365474339;1286;0.17647058823529413;70;0.5715396578538102;2.0049480455220188
steepest;ftv33;34;30;11.484;10098;2102;2.4082426127527214;1286;0.35294117647058826;69;0.6345256609642301;2.0851569933396763
