Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
SA;kro124p;100;100;557.2105;300000;49323;4.299337565553409;36230;0.2;65286;0.36138559205078663;3.892605883664822
SA;kro124p;100;100;403.6245;284000;52728;3.8292023185205633;36230;0.2;50463;0.4553684791609164;3.3181990593233195
SA;kro124p;100;100;448.8467;295000;49485;4.40673475020701;36230;0.26;60051;0.3658570245652774;3.958492472466404
SA;kro124p;100;100;451.6031;295000;47546;4.265884626000552;36230;0.29;60561;0.3123378415677615;4.012598325831826
SA;kro124p;100;100;428.2627;296000;49200;4.466436654706045;36230;0.2;61534;0.3579906155120066;4.025386178861789
SA;kro124p;100;100;447.6286;296000;49623;4.570494065691416;36230;0.23;61781;0.36966602263317694;4.06704552324527
SA;kro124p;100;100;413.4427;293000;47827;4.2722053546784435;36230;0.27;59213;0.32009384487993375;3.9938110272440253
SA;kro124p;100;100;380.8973;293000;48629;4.256555340877726;36230;0.23;58934;0.34223019597019044;3.916284521581772
SA;kro124p;100;100;371.95070000000004;292000;45520;4.405133866961082;36230;0.21;57857;0.25641733370135245;4.302021089630932
SA;kro124p;100;100;421.6008;290000;47549;3.917664918575766;36230;0.24;56014;0.3124206458735854;3.7470188647500473
SA;kro124p;100;100;439.9311;285000;50594;3.8258349434170578;36230;0.22;51201;0.3964670162848468;3.4557457406016523
SA;kro124p;100;100;375.9775;289000;47005;4.308446039194038;36230;0.26;54890;0.29740546508418436;4.091586001489203
SA;kro124p;100;100;397.52189999999996;289000;47301;4.400662434446591;36230;0.26;55527;0.3055754899254761;4.136614447897507
SA;kro124p;100;100;360.0562;288000;49560;4.118299751587083;36230;0.34;54180;0.367927132210875;3.741646489104116
SA;kro124p;100;100;376.37219999999996;292000;49764;3.9893734474192657;36230;0.24;57949;0.3735578250069004;3.6324451410658307
SA;kro124p;100;100;388.458;293000;49398;4.171818934584598;36230;0.24;58776;0.3634556996963842;3.793169763958055
SA;kro124p;100;100;419.9289;293000;46569;4.381783052718742;36230;0.26;58617;0.28537123930444386;4.186948399149649
SA;kro124p;100;100;441.5129;299000;45713;4.07433066519459;36230;0.26;64602;0.2617444107093569;4.021678734714414
SA;kro124p;100;100;458.50210000000004;296000;48975;3.9162020425062103;36230;0.25;61580;0.3517802925752139;3.6368351199591626
SA;kro124p;100;100;397.66810000000004;298000;53392;4.481727849848192;36230;0.23;63697;0.47369583218327355;3.7197145639796223
SA;kro124p;100;100;445.6169;289000;51417;4.492464808170025;36230;0.21;55361;0.41918299751587085;3.8701596748157225
SA;kro124p;100;100;423.694;286000;49796;4.058349434170577;36230;0.23;52594;0.3744410709356887;3.680295606072777
SA;kro124p;100;100;412.8331;291000;49456;4.05622412365443;36230;0.18;56621;0.365056582942313;3.7040399547072145
SA;kro124p;100;100;430.536;289000;49948;4.099861992823627;36230;0.2;55244;0.3786364890974331;3.699207175462481
SA;kro124p;100;100;411.0508;286000;45087;4.2583218327353025;36230;0.29;52318;0.24446591222743583;4.225364295694989
SA;kro124p;100;100;421.9162;287000;48642;4.142754623240409;36230;0.21;52824;0.3425890146287607;3.8304757205707003
SA;kro124p;100;100;413.99760000000003;289000;50233;3.9716809274082254;36230;0.25;55310;0.3865028981507038;3.5857703103537517
SA;kro124p;100;100;455.1297;295000;44732;4.179464532155672;36230;1;60543;0.23466740270494066;4.195028167754628
SA;kro124p;100;100;500.0238;298000;47558;4.783687551752691;36230;0.38;63738;0.3126690587910571;4.406051558097481
SA;kro124p;100;100;425.7269;299000;52019;4.186613303891803;36230;0.17;64343;0.4357990615512007;3.6123531786462637
SA;kro124p;100;100;499.8377;298000;50669;4.638227987855369;36230;0.24;63957;0.3985371239304444;4.0315182853421225
SA;kro124p;100;100;444.2057;281000;47353;4.406182721501518;36230;0.17;47935;0.3070107645597571;4.136295482862754
SA;kro124p;100;100;444.75559999999996;292000;49189;4.632238476400773;36230;0.21;57599;0.35768699972398565;4.148407164203379
SA;kro124p;100;100;421.9492;290000;51938;4.564449351366271;36230;0.21;55956;0.4335633452939553;3.881551080134006
SA;kro124p;100;100;451.70529999999997;297000;46796;4.263869721225504;36230;0.26;63366;0.2916367651117858;4.075348320369263
SA;kro124p;100;100;440.24190000000004;283000;52361;4.4156776152359924;36230;0.3;49178;0.44523875241512556;3.7472546360841084
SA;kro124p;100;100;487.5947;296000;48368;4.437841567761524;36230;0.34;62427;0.3350262213635109;4.073209560039696
SA;kro124p;100;100;533.1971;299000;51595;4.722743582666299;36230;0.23;64802;0.4240960529947557;4.018509545498595
SA;kro124p;100;100;450.789;288000;48388;4.086723709632901;36230;0.25;53895;0.3355782500690036;3.8086302389022073
SA;kro124p;100;100;451.31850000000003;293000;49562;3.953353574385868;36230;0.22;59192;0.36798233508142425;3.6209192526532425
SA;kro124p;100;100;466.2292;296000;49797;4.284598399116754;36230;0.28;62468;0.37446867237096326;3.84483000983995
SA;kro124p;100;100;498.8933;293000;50924;4.207838807617996;36230;0.23;59505;0.40557548992547615;3.7051292121592962
SA;kro124p;100;100;427.3673;288000;49807;3.684846812034226;36230;0.3;54007;0.37474468672370964;3.4077940851687516
SA;kro124p;100;100;374.3211;303000;47153;4.5693348054098815;36230;0.2;68641;0.30149047750483027;4.279197505991135
SA;kro124p;100;100;371.0722;292000;52242;4.559674303063759;36230;0.27;57435;0.4419541816174441;3.8556525401018336
SA;kro124p;100;100;347.5149;290000;49739;4.038973226607784;36230;0.34;56235;0.3728677891250345;3.6703994853133355
SA;kro124p;100;100;375.50289999999995;292000;48233;4.395694176097157;36230;0.2;57773;0.3313000276014353;4.05295129890324
