Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
Tabu;kro124p;100;30;19110.2325;5002;95623;4.316781672646978;36230;0.07;10004;1.6393320452663538;2.014442132123025
Tabu;kro124p;100;30;17460.5554;5002;87918;3.82376483577146;36230;0.09;10004;1.4266629864752967;1.9878181942264384
Tabu;kro124p;100;30;16684.95;5002;94348;4.228788296991444;36230;0.01;10004;1.6041402152911952;2.0078751006910585
Tabu;kro124p;100;30;16470.4781;5002;97035;4.386309688103782;36230;0.04;10004;1.6783052718741374;2.0110887823981036
Tabu;kro124p;100;30;16856.606;5002;93588;4.182831907259177;36230;0.05;10004;1.583163124482473;2.006389708082233
Tabu;kro124p;100;30;16403.015799999997;5002;89887;3.9838807617996137;36230;0.07;10004;1.4810102125310516;2.0088110627788223
Tabu;kro124p;100;30;15533.4034;5002;97270;4.397074247860889;36230;0.06;10004;1.6847916091636765;2.010239539426339
Tabu;kro124p;100;30;14593.0558;5002;91411;4.049516974882694;36230;0.08;10004;1.5230747998895942;2.0013346314994913
Tabu;kro124p;100;30;14678.7039;5002;92873;4.127297819486613;36230;0.08;10004;1.5634280982611095;2.00017227827248
Tabu;kro124p;100;30;15039.0867;5002;89403;3.950124206458736;36230;0.08;10004;1.4676511178581286;2.0060065098486626
Tabu;kro124p;100;30;15284.199700000001;5002;89101;3.937427546232404;36230;0.1;10004;1.459315484405189;2.007643011862942
Tabu;kro124p;100;30;14492.1512;5002;103554;4.77057686999724;36230;0.03;10004;1.8582390284294783;2.0189273229426195
Tabu;kro124p;100;30;14122.823199999999;5002;90241;4.015567209494893;36230;0.05;10004;1.4907811206182722;2.0136523309803747
Tabu;kro124p;100;30;15091.0914;5002;96812;4.348550924648082;36230;0.05;10004;1.672150151807894;2.0015907118952194
Tabu;kro124p;100;30;14696.2298;5002;97401;4.339470052442727;36230;0.06;10004;1.6884073971846536;1.9861089721871439
Tabu;kro124p;100;30;15172.535399999999;5002;91675;4.077256417333701;36230;0.06;10004;1.5303615788020977;2.0065339514589584
Tabu;kro124p;100;30;14355.245;5002;94075;4.209605299475573;36230;0.05;10004;1.59660502346122;2.0063141110815836
Tabu;kro124p;100;30;14578.7901;5002;88622;3.9098813138283193;36230;0.05;10004;1.4460943969086393;2.0072329669833677
Tabu;kro124p;100;30;14857.0686;5002;98629;4.483770356058515;36230;0.11;10004;1.7223019597019045;2.0143872491863446
Tabu;kro124p;100;30;14547.294000000002;5002;92528;4.119707424786089;36230;0.08;10004;1.5539056030913607;2.0046580494553
Tabu;kro124p;100;30;13603.8283;5002;92766;4.14377587634557;36230;0.12;10004;1.5604747446867238;2.008914904167475
Tabu;kro124p;100;30;13665.6776;5002;92753;4.1218327353022355;36230;0.06;10004;1.5601159260281534;2.000625316701347
Tabu;kro124p;100;30;13747.504299999999;5002;95979;4.322246756831356;36230;0.05;10004;1.6491581562241238;2.0090332260181913
Tabu;kro124p;100;30;14116.7193;5002;102955;4.625034501794094;36230;0.05;10004;1.8417057686999725;1.97945704433976
Tabu;kro124p;100;30;14184.934500000001;5002;96595;4.329009108473641;36230;0.03;10004;1.6661606403532985;1.9987576996738963
Tabu;kro124p;100;30;13856.9784;5002;97912;4.399972398564725;36230;0.11;10004;1.7025117306099917;1.9981309747528393
Tabu;kro124p;100;30;13936.5841;5002;93600;4.164532155672095;36230;0.06;10004;1.5834943417057687;1.9990491452991452
Tabu;kro124p;100;30;14066.261900000001;5002;101057;4.530361578802098;36230;0.11;10004;1.7893182445487166;1.9826929356699685
Tabu;kro124p;100;30;15027.782200000001;5002;93401;4.175931548440519;36230;0.11;10004;1.5780016560861165;2.0077301099559963
Tabu;kro124p;100;30;14729.4188;5002;103632;4.719431410433343;36230;0.05;10004;1.8603919403808997;1.999527173073954
