Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
greedy;kro124p;100;100;99.1713;43436;58528;4.565222191553961;36230;0.28;354;0.6154568037537952;3.4449835975943137
greedy;kro124p;100;100;58.265299999999996;34531;62077;4.28981507038366;36230;0.27;320;0.7134142975434723;3.087294811282762
greedy;kro124p;100;100;80.8984;44796;64848;4.116726469776428;36230;0.2;305;0.7898978746894838;2.8586695040710586
greedy;kro124p;100;100;51.0953;28159;66264;4.414656362130831;36230;0.18;347;0.828981507038366;2.9604762767113364
greedy;kro124p;100;100;80.253;53002;58580;4.227408225227712;36230;0.2;358;0.6168920783880761;3.232997610105838
greedy;kro124p;100;100;52.3756;40388;73645;4.0834943417057685;36230;0.15;290;1.0327077008004417;2.5008486658972098
greedy;kro124p;100;100;42.728500000000004;34176;60244;4.463400496825835;36230;0.19;332;0.6628208666850677;3.2856218046610453
greedy;kro124p;100;100;74.4385;41358;64080;4.608970466464256;36230;0.17;371;0.7686999723985647;3.1712390761548064
greedy;kro124p;100;100;69.9223;37767;61807;4.338586806513939;36230;0.19;337;0.705961910019321;3.1293704596566734
greedy;kro124p;100;100;67.7106;38972;68429;4.2904775048302515;36230;0.18;308;0.8887386144079492;2.801063876426661
greedy;kro124p;100;100;177.1178;107103;59262;4.058708252829147;36230;0.2;376;0.6357162572453767;3.0926563396442917
greedy;kro124p;100;100;77.5593;47438;62563;4.281755451283467;36230;0.18;357;0.7268285950869445;3.0586448859549575
greedy;kro124p;100;100;84.6503;53683;59377;4.329119514214739;36230;0.21;346;0.6388904223019597;3.2516631018744633
greedy;kro124p;100;100;53.8784;33811;66387;4.345514766767872;36230;0.26;324;0.832376483577146;2.9172578968774006
greedy;kro124p;100;100;60.285;31968;55297;4.317582114269942;36230;0.24;371;0.5262765663814518;3.48402264137295
greedy;kro124p;100;100;37.269499999999994;34325;64929;4.324206458735854;36230;0.22;316;0.7921335909467292;2.970875879807174
greedy;kro124p;100;100;51.8944;48267;62074;4.434915815622412;36230;0.18;336;0.7133314932376483;3.17213326030222
greedy;kro124p;100;100;42.463;41267;59150;4.404664642561413;36230;0.11;357;0.6326248964946177;3.310414201183432
greedy;kro124p;100;100;50.2374;54011;64537;4.337289539056031;36230;0.17;318;0.7813138283190726;2.996265708043448
greedy;kro124p;100;100;51.4354;42884;64372;4.101324868893182;36230;0.22;340;0.776759591498758;2.871139625924315
greedy;kro124p;100;100;74.9044;53027;59936;3.9296163400496824;36230;0.22;335;0.6543196246204802;2.9798451681793914
greedy;kro124p;100;100;30.900000000000002;30544;63703;4.330389180237372;36230;0.19;294;0.7582942313000276;3.031568371976202
greedy;kro124p;100;100;55.4121;41264;65059;4.443168644769528;36230;0.13;377;0.7957217775324317;3.031187076346086
greedy;kro124p;100;100;51.5242;35303;64431;4.024040850124207;36230;0.17;291;0.7783880761799613;2.825053157641508
greedy;kro124p;100;100;62.389100000000006;39124;61792;4.010322936792713;36230;0.24;314;0.7055478884902014;2.9376618332470223
greedy;kro124p;100;100;56.5656;53671;60191;4.037675959149876;36230;0.21;325;0.661357990615512;3.0322639597281986
greedy;kro124p;100;100;45.841300000000004;43630;59422;3.958570245652774;36230;0.21;335;0.6401324868893182;3.023274208205715
greedy;kro124p;100;100;40.1224;38510;65146;4.091471156500138;36230;0.16;330;0.7981231024013249;2.831547600773647
greedy;kro124p;100;100;48.78939999999999;44564;55448;3.9357162572453768;36230;0.17;326;0.5304443831079216;3.225021641898716
greedy;kro124p;100;100;57.0518;47425;62535;4.456141319348606;36230;0.23;334;0.7260557548992548;3.1610458143439675
greedy;kro124p;100;100;54.6075;48815;67184;4.694369307203974;36230;0.14;306;0.8543748274910296;3.0707757799476068
greedy;kro124p;100;100;53.489599999999996;54542;56916;4.19392768423958;36230;0.19;324;0.5709632900910847;3.3062056363764145
greedy;kro124p;100;100;33.391600000000004;32733;65712;4.301821694728126;36230;0.17;325;0.8137455147667678;2.92313428293158
greedy;kro124p;100;100;47.805;42310;63044;4.498343913883522;36230;0.17;368;0.7401048854540436;3.159777298394772
greedy;kro124p;100;100;57.2943;51415;63441;4.402456527739442;36230;0.15;352;0.7510626552580735;3.0852445579357197
greedy;kro124p;100;100;41.5723;39359;63687;4.50494065691416;36230;0.16;304;0.7578526083356335;3.1316281187683517
greedy;kro124p;100;100;36.8639;39859;66230;4.241733370135247;36230;0.15;304;0.8280430582390285;2.8674014796919827
greedy;kro124p;100;100;29.4132;29914;63003;4.118575765939829;36230;0.18;306;0.7389732266077836;2.9434471374378997
