Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random walk;kro124p;100;100;52.2115;24246;208872;4.0767595914987576;36230;0.01;11986;4.765166988683411;0.8805919414761193
random walk;kro124p;100;100;52.0087;28366;199988;4.23245928788297;36230;0.02;14199;4.51995583770356;0.9479168750125008
random walk;kro124p;100;100;52.4122;29670;178165;4.143030637593155;36230;0;14825;3.9176097157052165;1.0458395307720372
random walk;kro124p;100;100;52.0006;33285;188351;4.172895390560309;36230;0.01;16723;4.198757935412641;0.9950252454194563
random walk;kro124p;100;100;52.0016;37156;200607;4.45056582942313;36230;0.01;18564;4.5370411261385595;0.9843823994177671
random walk;kro124p;100;100;52.000499999999995;42118;195001;4.235937068727574;36230;0;20923;4.38230747998896;0.9728052676652941
random walk;kro124p;100;100;52.0009;41795;187429;4.266105437482749;36230;0.03;20851;4.173309412089429;1.0179374589844687
random walk;kro124p;100;100;52.0927;39825;200875;4.2183273530223575;36230;0;19909;4.544438310792161;0.9411823273179838
random walk;kro124p;100;100;52.0012;43472;200023;4.2032017664918575;36230;0;21792;4.520921887938173;0.9424516180639226
random walk;kro124p;100;100;52.1554;43639;185462;3.6330665194590117;36230;0;21773;4.119017388904223;0.9050695021082485
random walk;kro124p;100;100;52.000699999999995;41099;195806;3.9741650565829425;36230;0.01;20408;4.40452663538504;0.9203701623035044
random walk;kro124p;100;100;52.0001;42236;187420;4.383356334529395;36230;0;21141;4.173060999171957;1.0406520115249174
random walk;kro124p;100;100;52.0004;44537;179263;3.968203146563621;36230;0.01;22198;3.947916091636765;1.0041001210511928
random walk;kro124p;100;100;52.000499999999995;41193;190024;4.19243720673475;36230;0.01;20632;4.244935136627104;0.9899907380120406
random walk;kro124p;100;100;52.0539;40916;191438;4.387330941208943;36230;0.01;20536;4.283963566105437;1.019562469311213
random walk;kro124p;100;100;52.4112;39283;180819;4.356334529395529;36230;0.01;19490;3.990863924924096;1.0732279240566533
random walk;kro124p;100;100;52.000299999999996;35675;187507;4.368589566657466;36230;0.03;17869;4.17546232404085;1.037315940204899
random walk;kro124p;100;100;52.6242;34795;194326;4.48410157328181;36230;0.02;17337;4.363676511178581;1.0224519621666683
random walk;kro124p;100;100;52.0011;35072;204476;4.6722881589842675;36230;0;17524;4.6438310792161195;1.0050421565367085
random walk;kro124p;100;100;55.3369;21856;182592;4.803588186585703;36230;0.01;10875;4.039801269666023;1.1515509989484753
random walk;kro124p;100;100;52.0008;19617;179734;4.051173060999172;36230;0.01;9789;3.9609163676511177;1.0181935526945374
random walk;kro124p;100;100;52.4367;21403;186253;4.216312448247309;36230;0.02;10710;4.140850124206459;1.0146789581912774
random walk;kro124p;100;100;54.6404;17388;184020;4.3754071211703005;36230;0.01;8707;4.0792161192382;1.0583143136615585
random walk;kro124p;100;100;52.000499999999995;24872;190807;4.514573557825007;36230;0.02;12508;4.266547060447143;1.04709470826542
random walk;kro124p;100;100;52.001400000000004;23882;183332;4.492023185205631;36230;0;11868;4.060226331769252;1.0853315296838522
random walk;kro124p;100;100;52.0741;23992;189372;4.458515042782225;36230;0.02;12019;4.226939000828043;1.0443043322138437
random walk;kro124p;100;100;52.000699999999995;22383;171252;4.134915815622413;36230;0;11194;3.7268009936516697;1.0863405974820732
random walk;kro124p;100;100;52.0006;29969;173061;3.914573557825007;36230;0.02;14993;3.7767319900634835;1.0288568770549114
random walk;kro124p;100;100;52.2595;38652;194442;4.373337013524703;36230;0.01;19324;4.3668782776704385;1.0012034437004351
random walk;kro124p;100;100;52.001;29724;184959;4.510985371239305;36230;0;14843;4.105133866961082;1.079498699711828
random walk;kro124p;100;100;52.00020000000001;30541;198262;4.259343085840464;36230;0;15215;4.472315760419542;0.9610818008493811
random walk;kro124p;100;100;52.000499999999995;30103;188281;4.328484681203423;36230;0.02;15025;4.196825834943417;1.0253344734731598
random walk;kro124p;100;100;52.6024;24217;188445;4.530057963014077;36230;0.01;12230;4.201352470328457;1.0631961580301945
random walk;kro124p;100;100;52.0009;23806;188399;4.180651393872481;36230;0;11926;4.200082804305824;0.9962632498049353
random walk;kro124p;100;100;52.169;18871;194678;4.240215291195142;36230;0;9473;4.373392216395253;0.9752154840300393
random walk;kro124p;100;100;52.000499999999995;29569;193341;4.637813966326249;36230;0;14767;4.336489097433066;1.0564650022499107
random walk;kro124p;100;100;52.000299999999996;43697;188613;3.9332321280706597;36230;0.02;21733;4.205989511454596;0.9476070048193921
random walk;kro124p;100;100;52.0001;35762;182867;4.358570245652774;36230;0;17881;4.047391664366547;1.0616513641061536
random walk;kro124p;100;100;54.9016;37613;205027;4.210874965498206;36230;0.01;18801;4.659039470052443;0.9208055524394348
random walk;kro124p;100;100;52.0001;24176;185306;4.507397184653602;36230;0.02;12096;4.11471156500138;1.0767757115258005
random walk;kro124p;100;100;52.0415;24280;194054;4.204995859784709;36230;0.03;12230;4.3561689207838805;0.9717758974306121
random walk;kro124p;100;100;52.559599999999996;27003;193693;4.268423958045818;36230;0.01;13508;4.346204802649738;0.9854512037089621
random walk;kro124p;100;100;52.000299999999996;23827;197534;4.06754071211703;36230;0.01;11906;4.452221915539608;0.9294450575597112
random walk;kro124p;100;100;52.0008;29196;197044;4.808722053546784;36230;0.01;14561;4.438697212255037;1.0680355656604616
random walk;kro124p;100;100;52.001;29686;189287;4.105796301407673;36230;0.01;14864;4.224592878829699;0.9772620412389652
random walk;kro124p;100;100;52.0009;28004;196444;4.45699696384212;36230;0;14078;4.4221363510902565;1.0064293131884914
random walk;kro124p;100;100;52.0004;27714;206296;4.536875517526911;36230;0;13818;4.694065691415954;0.9723940357544499
random walk;kro124p;100;100;52.00020000000001;26739;199140;4.014380347778085;36230;0.01;13331;4.496549820590671;0.9122777945164207
random walk;kro124p;100;100;52.000499999999995;17358;200626;4.278581286226884;36230;0;8680;4.537565553408777;0.9532313857625632
random walk;kro124p;100;100;52.0012;20498;170660;4.310046922439967;36230;0.01;10318;3.7104609439690863;1.1272881753193484
random walk;kro124p;100;100;52.7221;23981;196711;4.021749930996412;36230;0;12091;4.429505934308584;0.9248999801739608
random walk;kro124p;100;100;52.9602;28248;199915;4.304305823902843;36230;0.03;14229;4.5179409329285125;0.9612835455068404
random walk;kro124p;100;100;52.0012;26742;194289;4.118272150151808;36230;0;13323;4.36265525807342;0.9544287118673729
random walk;kro124p;100;100;52.000699999999995;25477;185319;4.395997791885178;36230;0;12720;4.11507038365995;1.05492151371419
random walk;kro124p;100;100;52.1059;18687;183982;4.394148495721778;36230;0;9392;4.078167264697765;1.062223478383755
random walk;kro124p;100;100;52.000699999999995;22508;186837;4.271211703008556;36230;0.03;11170;4.156969362406845;1.0221529996735121
random walk;kro124p;100;100;55.8834;15366;188773;4.218078940104886;36230;0;7638;4.210405741098537;1.0014726682311559
random walk;kro124p;100;100;52.001400000000004;21607;184880;4.776097157052167;36230;0.01;10901;4.102953353574386;1.131912591951536
random walk;kro124p;100;100;52.0008;28670;192144;3.978112061827215;36230;0.01;14372;4.303450179409329;0.9386553834624032
random walk;kro124p;100;100;52.0006;30230;196795;4.452856748550925;36230;0.01;15199;4.431824454871653;1.003872049594756
random walk;kro124p;100;100;52.747099999999996;34832;210589;4.161440794921336;36230;0.02;17520;4.812558653049958;0.8879808537008106
random walk;kro124p;100;100;52.000299999999996;37220;183929;4.533066519459012;36230;0.04;18644;4.076704388628209;1.0898933827727004
