Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random;kro124p;100;100;52.0033;4447;198555;4.2715153187965775;36230;0.01;2248;4.480402980955009;0.9618846163531515
random;kro124p;100;100;52.006099999999996;5362;189290;4.254016008832459;36230;0.01;2679;4.224675683135523;1.0056157219081832
random;kro124p;100;100;52.5203;5653;185607;4.458183825558929;36230;0;2850;4.123019597019045;1.0654231790826854
random;kro124p;100;100;52.281099999999995;5900;197603;4.418492961634005;36230;0;2937;4.454126414573558;0.9934666983800853
random;kro124p;100;100;52.384100000000004;5767;185626;4.072536571901739;36230;0;2906;4.123544024289263;0.9900444980767781
random;kro124p;100;100;52.0015;5850;188178;4.360557548992547;36230;0;2945;4.1939828871101295;1.0320706990190138
random;kro124p;100;100;52.004799999999996;5721;203831;4.213414297543472;36230;0;2867;4.62602815346398;0.9266598309383755
random;kro124p;100;100;52.0044;5381;187236;4.015760419541817;36230;0.03;2659;4.167982335081424;0.9705451943002414
random;kro124p;100;100;52.5406;5853;189808;4.147391664366547;36230;0.03;2909;4.238973226607784;0.9825191772738767
random;kro124p;100;100;52.0044;5975;195943;4.195224951697488;36230;0.01;2969;4.408308032017665;0.9606007869635558
random;kro124p;100;100;52.2945;6382;188388;4.374827491029533;36230;0.01;3174;4.199779188517803;1.0336645646219504
random;kro124p;100;100;52.0034;5776;198442;3.996467016284847;36230;0.02;2918;4.477284018768976;0.9122161639169127
random;kro124p;100;100;52.0045;6319;176892;4.355423682031466;36230;0;3138;3.8824730886006074;1.0968670149017479
random;kro124p;100;100;52.0006;6657;191262;4.220756279326525;36230;0.01;3317;4.279105713497102;0.9889470987441311
random;kro124p;100;100;52.003;6327;195986;3.978029257521391;36230;0.03;3193;4.4094948937344745;0.9202392007592379
random;kro124p;100;100;52.003099999999996;6349;183546;4.278167264697764;36230;0.01;3162;4.066133038918024;1.0418532683904853
random;kro124p;100;100;52.3536;6043;209668;3.999696384211979;36230;0.01;3014;4.78713773116202;0.8639325028139726
random;kro124p;100;100;52.002399999999994;5956;197522;4.45926028153464;36230;0;2976;4.451890698316312;1.0013517481596987
random;kro124p;100;100;52.153600000000004;5374;193248;3.820590670714877;36230;0;2677;4.333922163952526;0.903760970359331
random;kro124p;100;100;52.7859;3865;206962;4.376345569969638;36230;0;1968;4.71244824730886;0.9411631120688823
random;kro124p;100;100;52.2393;5046;194362;4.788214187137731;36230;0;2523;4.364670162848468;1.0789506179191406
random;kro124p;100;100;52.004000000000005;5224;179971;4.4302511730609995;36230;0.02;2625;3.967457907811206;1.0931650099182646
random;kro124p;100;100;52.4106;5700;192880;4.501518078940105;36230;0.01;2856;4.32376483577146;1.0333886354209871
random;kro124p;100;100;53.024;4943;180613;4.480899806789953;36230;0.02;2469;3.985178029257521;1.0994391322883734
random;kro124p;100;100;52.007600000000004;4984;194455;4.315512006624345;36230;0;2489;4.367237096329009;0.9903628088760896
random;kro124p;100;100;52.002;4899;178935;4.0562793265249795;36230;0;2440;3.938862820866685;1.0237739961438512
random;kro124p;100;100;52.0036;6041;178082;4.209218879381728;36230;0.01;3018;3.915318796577422;1.059792679776732
random;kro124p;100;100;52.6608;5970;191528;4.242257797405465;36230;0;2972;4.286447695280154;0.9916409089010484
random;kro124p;100;100;52.004000000000005;5453;187697;4.354043610267734;36230;0.02;2738;4.180706596743031;1.0334581799389442
random;kro124p;100;100;52.0039;5298;186505;4.2576317968534365;36230;0.04;2665;4.1478056858956664;1.0213345486716174
random;kro124p;100;100;52.259800000000006;6167;205380;4.431520839083633;36230;0.01;3076;4.668782776704389;0.958145875937287
random;kro124p;100;100;52.004000000000005;5997;195657;4.124316864476953;36230;0.02;3003;4.400414021529119;0.9488748166434117
random;kro124p;100;100;52.001400000000004;6090;201509;4.21024013248689;36230;0;3057;4.56193762075628;0.9367670922886819
random;kro124p;100;100;52.004099999999994;4881;200241;4.228236268285951;36230;0.01;2445;4.526939000828043;0.945955124075489
random;kro124p;100;100;52.259600000000006;5314;190953;4.199116754071212;36230;0.01;2659;4.27057686999724;0.9864416898399082
