Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
steepest;kro124p;100;30;599.4156;445500;58479;4.459425890146288;36230;0.19;589;0.6141043334253381;3.38232527916004
steepest;kro124p;100;30;572.0396;415800;59476;4.012337841567762;36230;0.21;569;0.6416229643941485;3.0532819960992668
steepest;kro124p;100;30;604.101;455400;61740;4.599144355506486;36230;0.18;533;0.7041126138559205;3.285665694849368
steepest;kro124p;100;30;433.07800000000003;386100;69144;4.237813966326249;36230;0.21;474;0.9084736406293127;2.744504223070693
steepest;kro124p;100;30;462.6654;410850;54318;4.660143527463428;36230;0.22;620;0.4992547612475849;3.775304687212342
steepest;kro124p;100;30;517.4049;460350;67409;4.321722329561137;36230;0.2;579;0.8605851504278222;2.860241214081206
steepest;kro124p;100;30;500.97100000000006;465300;59903;4.307424786088877;36230;0.28;548;0.6534087772564173;3.209989482997513
steepest;kro124p;100;30;451.2312;410850;61423;4.1369583218327355;36230;0.22;523;0.6953629588738615;3.0300050469693764
steepest;kro124p;100;30;432.894;386100;62616;4.015153187965774;36230;0.2;502;0.7282914711565002;2.9017982624249394
steepest;kro124p;100;30;514.5375;455400;57672;4.007700800441623;36230;0.2;495;0.5918299751587083;3.145876681925371
steepest;kro124p;100;30;649.6885;480150;63163;4.52983715153188;36230;0.2;619;0.7433894562517251;3.171888605671042
steepest;kro124p;100;30;506.8342;445500;62753;4.628043058239029;36230;0.24;535;0.7320728677891251;3.249310789922394
steepest;kro124p;100;30;444.45459999999997;430650;72991;4.3208390836323485;36230;0.2;504;1.0146563621308309;2.641065336822348
steepest;kro124p;100;30;448.5923;445500;59443;4.271101297267458;36230;0.22;481;0.6407121170300856;3.2126911495045674
steepest;kro124p;100;30;377.5888;366300;63907;4.7552856748550925;36230;0.22;432;0.763924924096053;3.262772466240005
steepest;kro124p;100;30;405.58290000000005;391050;62622;3.945873585426442;36230;0.21;538;0.728457079768148;2.861438472102456
steepest;kro124p;100;30;476.4808;470250;61772;3.8527187413745514;36230;0.17;588;0.7049958597847088;2.8461762610891665
steepest;kro124p;100;30;400.3138;430650;61377;4.068506762351642;36230;0.15;437;0.6940932928512282;2.991869918699187
steepest;kro124p;100;30;448.855;445500;66379;4.1001380071763736;36230;0.18;505;0.8321556720949489;2.783681586043779
steepest;kro124p;100;30;495.0254;455400;60085;4.058735854264421;36230;0.23;584;0.6584322384764008;3.0503120579179495
steepest;kro124p;100;30;559.162;475200;56774;4.221832735302236;36230;0.21;486;0.5670438862820867;3.3322823827808503
steepest;kro124p;100;30;900.5189;514800;62053;4.184432790505106;36230;0.14;556;0.712751863096881;3.0269608238119026
steepest;kro124p;100;30;617.6855;400950;64520;4.462903670990891;36230;0.14;455;0.7808446039194038;3.067591444513329
steepest;kro124p;100;30;577.2252;396000;60142;4.062434446591222;36230;0.16;546;0.660005520287055;3.0496491636460377
steepest;kro124p;100;30;700.5788;509850;65251;3.976069555616892;36230;0.17;537;0.8010212531051615;2.7629155108733965
steepest;kro124p;100;30;592.9689999999999;405900;64444;4.377587634556997;36230;0.17;519;0.7787468948385317;3.0232449878964682
steepest;kro124p;100;30;643.4005000000001;495000;62424;4.5839083632348885;36230;0.11;633;0.7229919955837704;3.2408208381391774
steepest;kro124p;100;30;415.8631;415800;69749;3.8649461772012144;36230;0.14;523;0.9251725089704664;2.5270183085062152
steepest;kro124p;100;30;546.064;440550;70147;3.86676787192934;36230;0.18;482;0.9361578802097709;2.513621395070352
steepest;kro124p;100;30;672.0954;450450;65144;4.344327905051062;36230;0.16;556;0.7980678995307756;2.9722614515534813
