Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
SA;ry48p;48;100;518.3083;280000;16145;2.5289141589238664;14422;0.3541666666666667;57743;0.11947025377894883;3.152307215856302
SA;ry48p;48;100;444.26890000000003;281000;15839;2.8154902232700043;14422;0.4166666666666667;57649;0.09825266953265843;3.4741460950817604
SA;ry48p;48;100;484.5341;288000;15665;2.9280959644986826;14422;0.3125;64492;0.0861877686867286;3.616406000638366
SA;ry48p;48;100;446.9943;269000;15833;2.361877686867286;14422;0.2916666666666667;46426;0.09783663846900569;3.062274995263058
SA;ry48p;48;100;461.54260000000005;278000;16524;2.5792539176258495;14422;0.22916666666666666;55501;0.14574954929968104;3.1239409343984508
SA;ry48p;48;100;426.0242;278000;15637;2.977950353626404;14422;0.4583333333333333;55289;0.08424629038968243;3.668862313743045
SA;ry48p;48;100;446.09880000000004;286000;15090;3.0868811537928167;14422;0.1875;62800;0.046318125086673136;3.9059642147117297
SA;ry48p;48;100;432.9581;276000;15164;2.862293717930939;14422;0.5;53284;0.051449174871723756;3.673305196518069
SA;ry48p;48;100;419.0375;274000;16137;2.9171404798224936;14422;0.4583333333333333;51318;0.11891554569407849;3.5008365867261575
SA;ry48p;48;100;533.2011;287000;16678;2.95867424767716;14422;0.2916666666666667;63294;0.15642767993343504;3.4231922292840866
SA;ry48p;48;100;433.7647;275000;15487;2.74455692691721;14422;0.3958333333333333;52297;0.07384551379836361;3.4870536579066314
SA;ry48p;48;100;502.9843000000001;276000;15523;2.716128137567605;14422;0.3333333333333333;52486;0.07634170018028012;3.452554274302648
SA;ry48p;48;100;483.13820000000004;286000;16207;2.802107890722507;14422;0.5833333333333334;62444;0.12376924143669393;3.3833528722157094
SA;ry48p;48;100;485.7679;286000;15403;2.8175703785882678;14422;0.5625;62305;0.06802107890722507;3.574433551905473
SA;ry48p;48;100;524.4427000000001;288000;16188;3.16419359312162;14422;0.375;64543;0.12245180973512688;3.7099085742525326
SA;ry48p;48;100;552.3548999999999;290000;16887;2.939190126196089;14422;0.2916666666666667;66853;0.17091942865067258;3.364185468111565
SA;ry48p;48;100;533.417;286000;15837;2.7399805852170296;14422;0.3125;62423;0.09811399251144086;3.405821809686178
SA;ry48p;48;100;436.5381;273000;15582;2.824642906670365;14422;0.3958333333333333;50291;0.08043267230619887;3.5399178539340266
SA;ry48p;48;100;411.5628;278000;15460;2.8410067951740396;14422;0.4375;55066;0.07197337401192623;3.583117723156533
SA;ry48p;48;100;436.65569999999997;289000;15035;2.8932880321730687;14422;0.375;65309;0.04250450700318957;3.734552710342534
SA;ry48p;48;100;511.29080000000005;283000;15472;2.520038829565941;14422;0.5625;59830;0.07280543613923172;3.281153050672182
SA;ry48p;48;100;565.7832000000001;279000;15556;2.9525031202329775;14422;0.375;55796;0.07862987103037027;3.6643738750321417
SA;ry48p;48;100;558.8062;271000;14991;2.668145888226321;14422;0.4375;48533;0.03945361253640272;3.528917350410246
SA;ry48p;48;100;514.1573999999999;280000;16036;2.777562057966995;14422;0.4791666666666667;56424;0.11191235612259048;3.3973559491144925
SA;ry48p;48;100;480.6619;282000;15914;2.5017334627652197;14422;0.4166666666666667;58984;0.10345305782831785;3.173432198064597
SA;ry48p;48;100;474.314;286000;15628;2.912910830675357;14422;0.3333333333333333;62664;0.0836222437942033;3.6109546966982338
SA;ry48p;48;100;460.5049;283000;15934;2.52926085147691;14422;0.2916666666666667;59972;0.10483982804049369;3.194364252541735
SA;ry48p;48;100;463.3892;278000;15788;2.7702121758424627;14422;0.4166666666666667;54454;0.09471640549161003;3.4440081074233597
SA;ry48p;48;100;464.462;280000;16590;2.602135626126751;14422;0.4166666666666667;56891;0.15032589099986132;3.1314044605183846
SA;ry48p;48;100;455.58340000000004;281000;15627;2.8491887394258772;14422;0.4375;58320;0.0835529052835945;3.5523772957061497
SA;ry48p;48;100;468.05989999999997;283000;15389;3.060601858272084;14422;0.3333333333333333;60113;0.06705033975870198;3.8054454480473066
SA;ry48p;48;100;530.886;280000;15973;2.803286645402857;14422;0.4375;56998;0.10754402995423658;3.4339823452075375
SA;ry48p;48;100;454.5089;284000;15360;2.6239772569685202;14422;0.3541666666666667;61065;0.06503952295104701;3.4026692708333335
SA;ry48p;48;100;413.52729999999997;279000;15349;2.3816391623907918;14422;0.3541666666666667;55852;0.06427679933435029;3.1774056941820312
SA;ry48p;48;100;412.373;287000;15589;3.0861877686867287;14422;0.6041666666666666;63749;0.08091804188046041;3.7802937969080763
SA;ry48p;48;100;423.33389999999997;289000;15935;2.9140895853557067;14422;0.16666666666666666;65698;0.10490916655110248;3.542453718230311
SA;ry48p;48;100;414.4246;285000;15172;2.770142837331854;14422;0.25;62438;0.05200388295659409;3.583772739256525
SA;ry48p;48;100;405.9748;283000;17105;3.0185133823325474;14422;0.3541666666666667;60077;0.18603522396338926;3.3881905875475007
SA;ry48p;48;100;414.00710000000004;288000;15263;3.2677159894605463;14422;0.5208333333333334;64445;0.05831368742199418;4.032562405817991
SA;ry48p;48;100;409.3671;281000;15432;2.70323117459437;14422;0.4166666666666667;57336;0.07003189571488004;3.4608605495075166
SA;ry48p;48;100;421.0009;274000;16282;3.0330744695603937;14422;0.3958333333333333;50780;0.12896962973235335;3.572349834172706
SA;ry48p;48;100;444.8412;287000;15725;3.0373041187075303;14422;0.4375;63359;0.09034807932325614;3.7027662957074723
SA;ry48p;48;100;523.1788;284000;16151;2.604077104423797;14422;0.3125;60814;0.11988628484260158;3.2182527397684355
SA;ry48p;48;100;585.1033;280000;15758;2.7823464151990014;14422;0.6666666666666666;56705;0.09263625017334627;3.461670262723696
SA;ry48p;48;100;581.8413999999999;285000;15448;2.881916516433227;14422;0.3333333333333333;61693;0.07114131188462072;3.624093733816675
SA;ry48p;48;100;530.4590999999999;278000;15367;2.950006933851061;14422;0.5208333333333334;55244;0.06552489252530856;3.7070996290752913
SA;ry48p;48;100;470.1587;278000;16401;2.9345444459853;14422;0.25;54850;0.13722091249479962;3.459789037253826
SA;ry48p;48;100;491.4708;282000;15003;3.0170572736097627;14422;0.3125;58933;0.04028567466370822;3.861494367793108
SA;ry48p;48;100;517.803;275000;15279;2.6432533629177644;14422;0.5;52289;0.05942310359173485;3.438903069572616
SA;ry48p;48;100;485.8787;278000;17180;2.80023575093607;14422;0.1875;54952;0.19123561225904867;3.190162980209546
SA;ry48p;48;100;446.4563;287000;15986;2.8923866315351545;14422;0.4166666666666667;63754;0.10844543059215088;3.511572626047792
SA;ry48p;48;100;481.3674;283000;15445;2.798571626681459;14422;0.4375;60619;0.07093329635279434;3.546973130462933
SA;ry48p;48;100;467.5569;279000;14942;2.8313687421994174;14422;0.4166666666666667;55798;0.0360560255165719;3.6980323919154063
SA;ry48p;48;100;583.7405;277000;16257;2.3270697545416725;14422;0.2916666666666667;53927;0.12723616696713355;2.9515285723073137
SA;ry48p;48;100;485.97950000000003;272000;16557;2.542088475939537;14422;0.25;48814;0.14803772014977118;3.085341547381772
SA;ry48p;48;100;441.2685;276000;14889;3.1498405214256;14422;0.375;53449;0.032381084454305924;4.019678957619719
SA;ry48p;48;100;465.9818;290000;15942;2.5312716682845653;14422;0.3541666666666667;66051;0.10539453612536402;3.1945803537824613
SA;ry48p;48;100;454.2388;273000;16046;2.543336569130495;14422;0.3125;49294;0.1126057412286784;3.184718933067431
SA;ry48p;48;100;458.1144;283000;15779;3.2809596449868255;14422;0.6041666666666666;60283;0.0940923588961309;3.91279548767349
SA;ry48p;48;100;437.1653;278000;15585;2.842878934960477;14422;0.3125;55162;0.08064068783802524;3.556111645813282
SA;ry48p;48;100;437.4188;281000;17893;2.651851338233255;14422;0.22916666666666666;57866;0.24067397032311746;2.9434415693287876
SA;ry48p;48;100;416.7465;282000;15451;2.9650533906531686;14422;0.5625;58575;0.07134932741644709;3.7009902271697626
SA;ry48p;48;100;447.63550000000004;284000;15388;2.8703369851615586;14422;0.3541666666666667;60905;0.0669810012480932;3.627371978164804
SA;ry48p;48;100;448.3858;271000;16084;2.7237553737345723;14422;0.3125;47794;0.11524060463181252;3.338970405371798
SA;ry48p;48;100;401.0664;271000;15267;2.353487727083622;14422;0.5208333333333334;47977;0.058591041464429346;3.167878430601952
SA;ry48p;48;100;437.3027;280000;16634;2.834835667729857;14422;0.2708333333333333;56088;0.15337678546664818;3.324876758446555
SA;ry48p;48;100;423.6437;283000;16429;2.9438358064068786;14422;0.3958333333333333;59686;0.13916239079184578;3.46204881611784
SA;ry48p;48;100;403.8536;279000;16082;2.6905422271529607;14422;0.3958333333333333;56133;0.11510192761059493;3.3096007959209053
SA;ry48p;48;100;437.3628;284000;16325;2.5181666897795036;14422;0.20833333333333334;61284;0.1319511856885314;3.108055130168453
SA;ry48p;48;100;444.8207;277000;17391;2.349258077936486;14422;0.4791666666666667;53958;0.2058660379975038;2.7774711057443504
SA;ry48p;48;100;435.4761;277000;15654;2.722021910969352;14422;0.375;53877;0.0854250450700319;3.4290916059793024
SA;ry48p;48;100;448.53880000000004;275000;15101;2.659478574400222;14422;0.5416666666666666;51562;0.04708084870336985;3.4949341103238196
SA;ry48p;48;100;455.4548;283000;16555;3.0916655110248232;14422;0.2916666666666667;59204;0.1478990431285536;3.5644820295983086
SA;ry48p;48;100;460.7604;285000;15838;2.568714464013313;14422;0.2916666666666667;61558;0.09818333102204965;3.2496527339310517
SA;ry48p;48;100;444.3853;280000;15353;3.0061711274441825;14422;0.375;56316;0.06455415337678547;3.7632384550250766
SA;ry48p;48;100;475.4054;285000;15555;3.0635834142282623;14422;0.5625;61748;0.07856053251976147;3.767598842815815
SA;ry48p;48;100;463.1929;281000;15971;2.569685203161836;14422;0.2708333333333333;57943;0.107405352933019;3.223467534907019
SA;ry48p;48;100;451.25870000000003;281000;15309;2.845860490916655;14422;0.3125;58030;0.061503258909998616;3.623032203279117
SA;ry48p;48;100;441.372;278000;15899;2.6079600610178892;14422;0.3125;55067;0.10241298016918597;3.272784451852318
SA;ry48p;48;100;435.8636;280000;15830;2.7028844820413256;14422;0.2708333333333333;57001;0.0976286229371793;3.3735312697409983
SA;ry48p;48;100;489.88530000000003;276000;15900;2.240604631812509;14422;0.5;52991;0.10248231867979475;2.93937106918239
SA;ry48p;48;100;420.1112;276000;15839;2.8403134100679517;14422;0.4166666666666667;52664;0.09825266953265843;3.4967485321042995
SA;ry48p;48;100;440.8588;289000;15514;3.0131049785050616;14422;0.4583333333333333;65417;0.075717653584801;3.7306303983498776
SA;ry48p;48;100;466.55649999999997;273000;16553;2.8396200249618637;14422;0.2916666666666667;50303;0.147760366107336;3.345315048631668
SA;ry48p;48;100;489.8759;282000;16596;2.765427818610456;14422;0.2916666666666667;59294;0.15074192206351408;3.272174017835623
SA;ry48p;48;100;470.1416;272000;15703;2.5897933712383856;14422;0.5625;49345;0.08882263208986271;3.296949627459721
SA;ry48p;48;100;464.3677;283000;16106;2.9427957287477464;14422;0.20833333333333334;60125;0.11676605186520593;3.5305476220042222
SA;ry48p;48;100;495.7125;284000;17166;2.5495770350852864;14422;0.375;61218;0.1902648731105256;2.9821740650122335
SA;ry48p;48;100;489.4686;287000;16587;2.6823602829011235;14422;0.3541666666666667;64158;0.15011787546803496;3.201724241876168
SA;ry48p;48;100;516.2033;279000;15276;2.691790320343919;14422;0.4583333333333333;56102;0.05921508805990847;3.485401937680021
SA;ry48p;48;100;477.3941;287000;15590;2.70780751629455;14422;0.6041666666666666;63821;0.0809873803910692;3.4300192431045544
SA;ry48p;48;100;455.8925;290000;15518;2.848911385383442;14422;0.2708333333333333;66461;0.07599500762723617;3.5770717876014952
SA;ry48p;48;100;447.135;269000;15837;2.068506448481487;14422;0.5833333333333334;46164;0.09811399251144086;2.7943423628212414
SA;ry48p;48;100;499.048;289000;15525;2.959853002357509;14422;0.3541666666666667;65512;0.07648037720149771;3.6785185185185183
SA;ry48p;48;100;466.9895;284000;15944;2.6792400499237274;14422;0.5416666666666666;60267;0.10553321314658161;3.3280230807827396
