Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
Tabu;ry48p;48;30;4514.7411;5002;24167;2.37831091388157;14422;0.14583333333333334;10004;0.6757037858826792;2.0160549509661934
Tabu;ry48p;48;30;4680.525699999999;5002;27743;2.816252946886701;14422;0.08333333333333333;10004;0.9236582998197199;1.9838517824316044
Tabu;ry48p;48;30;4635.2596;5002;29193;3.0407710442379696;14422;0.0625;10004;1.0241991402024684;1.9962319734182852
Tabu;ry48p;48;30;4363.9337;5002;26081;2.638469005685758;14422;0.08333333333333333;10004;0.8084176951879074;2.0119627314903568
Tabu;ry48p;48;30;4105.051600000001;5002;26260;2.664817639717099;14422;0.125;10004;0.8208292885868812;2.0127189642041126
Tabu;ry48p;48;30;4427.4225;5002;29179;3.027388711690473;14422;0.08333333333333333;10004;1.0232284010539454;1.9905754138250111
Tabu;ry48p;48;30;4173.3348000000005;5002;27515;2.817501040077659;14422;0.14583333333333334;10004;0.9078491194009153;2.000944939124114
Tabu;ry48p;48;30;4095.2108000000003;5002;27708;2.8538344196366663;14422;0.10416666666666667;10004;0.9212314519484122;2.0059188681969107
Tabu;ry48p;48;30;4087.8356;5002;29861;3.1368742199417556;14422;0.10416666666666667;10004;1.0705172652891415;1.997990690197917
Tabu;ry48p;48;30;3688.8784;5002;28921;2.9852308972403274;14422;0.1875;10004;1.005339065316877;1.987310258981363
Tabu;ry48p;48;30;3783.1454;5002;30132;3.1456802107890725;14422;0.125;10004;1.0893080016641243;1.9842360281428382
Tabu;ry48p;48;30;3337.6101;5002;27220;2.793093884343364;14422;0.10416666666666667;10004;0.8873942587713216;2.0096987509184423
Tabu;ry48p;48;30;3191.8797;5002;29739;3.141173207599501;14422;0.08333333333333333;10004;1.0620579669948689;2.0082719661051147
Tabu;ry48p;48;30;3668.0026;5002;28275;2.912633476632922;14422;0.10416666666666667;10004;0.9605463874635973;1.995685234305924
Tabu;ry48p;48;30;3339.1782000000003;5002;24269;2.3837193177090557;14422;0.16666666666666666;10004;0.682776313964776;2.0107956652519676
Tabu;ry48p;48;30;3346.0031;5002;28151;2.8800443766467896;14422;0.041666666666666664;10004;0.9519484121481071;1.9877801854285815
Tabu;ry48p;48;30;3356.3659000000002;5002;28226;2.927333240881986;14422;0.08333333333333333;10004;0.9571488004437665;2.006660525756395
Tabu;ry48p;48;30;3135.2452;5002;28051;2.9224795451393706;14422;0.14583333333333334;10004;0.9450145610872278;2.0166838971872663
Tabu;ry48p;48;30;3231.7242;5002;27616;2.8781722368603524;14422;0.10416666666666667;10004;0.9148523089724033;2.025311413673233
Tabu;ry48p;48;30;3407.66;5002;28388;2.9071557342948275;14422;0.20833333333333334;10004;0.9683816391623908;1.9849584331407637
Tabu;ry48p;48;30;3214.3902;5002;24286;2.3733185411177367;14422;0.125;10004;0.6839550686451255;2.00321172692086
Tabu;ry48p;48;30;3398.6671;5002;28135;2.9258077936485924;14422;0.125;10004;0.9508389959783664;2.0123689354896035
Tabu;ry48p;48;30;3592.3323;5002;27677;2.783178477326307;14422;0.10416666666666667;10004;0.9190819581195396;1.9713480507280414
Tabu;ry48p;48;30;3670.2990999999997;5002;27905;2.867840798779642;14422;0.08333333333333333;10004;0.9348911385383442;1.9989965955921878
Tabu;ry48p;48;30;3514.1643;5002;28579;2.9437664678962694;14422;0.08333333333333333;10004;0.9816252946886701;1.99016760558452
Tabu;ry48p;48;30;3192.6267;5002;29022;3.0732214672028846;14422;0.10416666666666667;10004;1.012342254888365;2.0241196333815727
Tabu;ry48p;48;30;3237.9237000000003;5002;29839;3.0866037997503812;14422;0.08333333333333333;10004;1.068991818055748;1.9751667281075103
Tabu;ry48p;48;30;3359.2053;5002;29772;3.1126057412286783;14422;0.0625;10004;1.064346137844959;1.9922074432352546
Tabu;ry48p;48;30;3694.5269;5002;27391;2.7523228401053945;14422;0.125;10004;0.8992511440854251;1.9756854441239824
Tabu;ry48p;48;30;3408.7789000000002;5002;26081;2.5861877686867287;14422;0.16666666666666666;10004;0.8084176951879074;1.9830527970553276
