Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random walk;ry48p;48;100;14.2087;9802;59540;2.1803494660934684;14422;0;4872;3.128414921647483;0.770356063150823
random walk;ry48p;48;100;15.1749;8257;55493;2.8879489668561917;14422;0.041666666666666664;4074;2.8478019692137013;1.010433748400699
random walk;ry48p;48;100;14.203800000000001;9072;54448;2.568437109970878;14422;0.020833333333333332;4541;2.7753432256275135;0.9451954158095798
random walk;ry48p;48;100;14.0009;10123;54971;2.745735681597559;14422;0.041666666666666664;5003;2.811607266675912;0.9827181604846191
random walk;ry48p;48;100;14.0014;10663;56802;2.81285535986687;14422;0;5292;2.9385660796006103;0.9680821097848668
random walk;ry48p;48;100;14.3349;9317;52278;2.8086950492303426;14422;0.0625;4753;2.6248786576064345;1.050709667546578
random walk;ry48p;48;100;14.001;10815;49869;2.9114547219525724;14422;0.041666666666666664;5443;2.4578421855498545;1.131183701297399
random walk;ry48p;48;100;14.0005;9733;54200;2.6946331992788797;14422;0.020833333333333332;4876;2.7581472749965332;0.9830996309963099
random walk;ry48p;48;100;14.001;10661;58397;3.0322424074330883;14422;0;5340;3.0491610040216335;0.9958217031696833
random walk;ry48p;48;100;14.000399999999999;9775;53850;2.482041325752323;14422;0.041666666666666664;4923;2.733878796283456;0.9325533890436397
random walk;ry48p;48;100;14.000200000000001;11171;51570;3.212730550547774;14422;0;5588;2.5757869920954097;1.1781268179173938
random walk;ry48p;48;100;14.0001;11345;54214;2.9624185272500347;14422;0;5676;2.759118014145056;1.0540819714464897
random walk;ry48p;48;100;14.3644;11720;58803;2.610525585910415;14422;0;5839;3.077312439328803;0.8855160450997398
random walk;ry48p;48;100;14.060599999999999;10959;48892;2.897864373873249;14422;0.020833333333333332;5478;2.3900984606850644;1.1497791049660475
random walk;ry48p;48;100;14.000300000000001;10941;54339;2.502357509360699;14422;0.020833333333333332;5498;2.767785327971155;0.9295533594655772
random walk;ry48p;48;100;14.0007;11001;56175;2.755859104146443;14422;0;5448;2.8950908334488976;0.9642545616377393
random walk;ry48p;48;100;14.1798;10339;58653;2.738177783941201;14422;0;5181;3.0669116627374846;0.9191686699742554
random walk;ry48p;48;100;14.000200000000001;9946;51231;2.8706836777146028;14422;0;4959;2.552281236999029;1.089633229880346
random walk;ry48p;48;100;14.277700000000001;11013;59675;2.638399667175149;14422;0.020833333333333332;5565;3.13777562057967;0.8793129451193967
random walk;ry48p;48;100;14.0009;9533;52194;2.4788517542643183;14422;0.020833333333333332;4821;2.619054222715296;0.9612599149327509
random walk;ry48p;48;100;14.0006;9670;57147;2.8764387740951323;14422;0.041666666666666664;4871;2.9624878657606435;0.9782840744046056
random walk;ry48p;48;100;14.0021;9471;61183;2.371862432394952;14422;0;4712;3.2423380945777285;0.7948122844581011
