Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
random;ry48p;48;100;14.0005;2246;48867;2.583691582304812;14422;0.020833333333333332;1124;2.3883649979198447;1.057646264350175
random;ry48p;48;100;14.001100000000001;2418;59180;3.2316599639439745;14422;0;1206;3.1034530578283177;1.0312436633997972
random;ry48p;48;100;14.2203;2467;55224;3.077104423796977;14422;0;1228;2.8291499098599364;1.064754454584963
random;ry48p;48;100;14.2512;2659;52697;2.8567466370822356;14422;0.0625;1317;2.6539314935515184;1.0555060060344992
random;ry48p;48;100;14.002;2447;55107;3.100540840382749;14422;0;1243;2.8210373041187076;1.0731486018110221
random;ry48p;48;100;14.002699999999999;2195;54380;3.0395229510470116;14422;0.020833333333333332;1092;2.7706282069061157;1.0713129827142331
random;ry48p;48;100;14.0021;2440;55030;2.4730966578837887;14422;0.020833333333333332;1201;2.8156982388018306;0.9102126113029256
random;ry48p;48;100;14.002799999999999;2619;54448;3.0918735265566495;14422;0;1321;2.7753432256275135;1.083841463414634
random;ry48p;48;100;14.4583;2303;55287;2.9064623491887396;14422;0.041666666666666664;1165;2.83351823602829;1.0190279812614178
random;ry48p;48;100;14.0009;2278;55494;2.895021494938289;14422;0.08333333333333333;1147;2.84787130772431;1.0122535769632752
random;ry48p;48;100;15.1335;1779;60863;2.7750658715850784;14422;0;894;3.220149771182915;0.8945336246980924
random;ry48p;48;100;14.0016;2399;50170;2.8161836083760923;14422;0.020833333333333332;1201;2.4787130772431007;1.0970101654375124
random;ry48p;48;100;14.0016;2465;51588;2.8463458604909166;14422;0.020833333333333332;1236;2.577035085286368;1.0752888268589595
random;ry48p;48;100;14.4765;1811;59478;2.580085979753155;14422;0;917;3.1241159339897377;0.8680856787383571
random;ry48p;48;100;14.4761;2665;58036;3.133823325474969;14422;0.041666666666666664;1325;3.02412980169186;1.027258942725205
random;ry48p;48;100;14.2016;2527;52015;2.9445985300235753;14422;0.020833333333333332;1263;2.606642629316322;1.0937037393059694
random;ry48p;48;100;14.006599999999999;2166;58024;2.5040909721259186;14422;0;1074;3.023297739564554;0.8709499517441058
random;ry48p;48;100;14.0015;2468;55110;2.5332824850922204;14422;0.020833333333333332;1213;2.821245319650534;0.9246416258392306
random;ry48p;48;100;14.0022;2784;58400;2.7606434613784496;14422;0.020833333333333332;1384;3.04936901955346;0.9286986301369863
random;ry48p;48;100;14.0382;3084;54457;2.5042989876577453;14422;0.041666666666666664;1549;2.7759672722229927;0.9280533264777715
