Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
steepest;ry48p;48;30;61.520199999999996;47376;21617;3.293787269449452;14422;0.25;212;0.4988905838302593;2.8646435675625663
steepest;ry48p;48;30;61.207699999999996;49632;20573;2.83982804049369;14422;0.22916666666666666;205;0.42650117875468035;2.691780488990424
steepest;ry48p;48;30;51.3565;39480;18615;2.943558452364443;14422;0.3125;189;0.29073637498266536;3.0552780016116037
steepest;ry48p;48;30;56.4302;42864;20583;2.25086673138261;14422;0.22916666666666666;173;0.42719456386076826;2.2778020696691446
steepest;ry48p;48;30;55.9348;40608;20574;2.645125502704202;14422;0.25;206;0.42657051726528916;2.555166715271702
steepest;ry48p;48;30;70.1148;53016;20232;2.872486478990431;14422;0.2916666666666667;244;0.4028567466370822;2.760429023329379
steepest;ry48p;48;30;64.7987;41736;22306;3.1087921231451947;14422;0.25;186;0.5466648176397171;2.6565498072267553
steepest;ry48p;48;30;70.20859999999999;48504;17755;2.7963527943419777;14422;0.22916666666666666;185;0.23110525585910416;3.0836947338777807
steepest;ry48p;48;30;61.0719;42864;17425;2.7514214394674803;14422;0.3125;166;0.20822354735820275;3.104906743185079
steepest;ry48p;48;30;72.0859;43992;22562;2.559353765081126;14422;0.1875;189;0.5644154763555679;2.2751972342877402
steepest;ry48p;48;30;65.0239;46248;20085;2.8259603383719316;14422;0.25;209;0.3926639855775898;2.74722429673886
steepest;ry48p;48;30;103.6179;50760;18519;3.043683261683539;14422;0.3333333333333333;220;0.28407987796422135;3.149090123656785
steepest;ry48p;48;30;61.2113;41736;21350;2.5101927610594923;14422;0.25;181;0.48037720149771185;2.3711475409836065
steepest;ry48p;48;30;73.2821;55272;19412;2.8917625849396753;14422;0.4166666666666667;239;0.3459991679378727;2.8913558623531834
steepest;ry48p;48;30;63.686400000000006;38352;18380;2.507696574677576;14422;0.375;194;0.27444182498959924;2.7523394994559305
steepest;ry48p;48;30;66.1761;48504;17907;2.811607266675912;14422;0.3125;210;0.24164470947164055;3.0698051041492156
steepest;ry48p;48;30;65.2249;43992;21225;3.114061849951463;14422;0.2916666666666667;179;0.4717098876716128;2.795429917550059
steepest;ry48p;48;30;71.1312;48504;21762;2.848842046872833;14422;0.3125;198;0.5089446678685342;2.550684679716938
steepest;ry48p;48;30;62.2464;46248;20805;2.6135764803772017;14422;0.14583333333333334;220;0.4425877132159201;2.5049267003124247
steepest;ry48p;48;30;62.3224;45120;19430;2.884274025793926;14422;0.2708333333333333;202;0.347247261128831;2.8831188883170356
steepest;ry48p;48;30;58.4602;41736;19425;2.598460685064485;14422;0.2708333333333333;169;0.346900568575787;2.6716602316602316
steepest;ry48p;48;30;61.210800000000006;42864;19649;2.905006240465955;14422;0.3541666666666667;179;0.3624323949521564;2.866201842332943
steepest;ry48p;48;30;62.1251;42864;20091;2.88059908473166;14422;0.125;179;0.39308001664124254;2.785625404409935
steepest;ry48p;48;30;74.475;55272;17715;2.6827069754541673;14422;0.20833333333333334;237;0.22833171543475247;2.99813717188823
steepest;ry48p;48;30;54.4544;40608;21557;3.057342948273471;14422;0.2916666666666667;224;0.4947302731937318;2.7144315071670455
steepest;ry48p;48;30;59.9162;45120;19226;3.1108722784634586;14422;0.6041666666666666;251;0.3331022049646374;3.083688754811193
steepest;ry48p;48;30;67.68870000000001;50760;20035;2.7288864235196226;14422;0.4791666666666667;219;0.3891970600471502;2.6842026453706014
steepest;ry48p;48;30;60.9082;45120;20638;3.3010678130633755;14422;0.20833333333333334;195;0.43100818194425183;3.0056206996802017
steepest;ry48p;48;30;50.1091;40608;21653;2.6072666759118013;14422;0.3125;166;0.5013867702121758;2.4026231930910265
steepest;ry48p;48;30;64.648;47376;20574;3.169463319927888;14422;0.2916666666666667;225;0.42657051726528916;2.9227179935841354
